onset	duration	type	choice	rwdval	RT
5864269.7	3	bandit	2	0	1.2392
5864276.683	3	bandit	1	0	0.6985
5864283.666	3	bandit	3	10	0.6065
5864290.649	3	bandit	2	0	1.291
5864299.637	3	bandit	3	0	0.5533
5864307.616	3	bandit	1	10	0.8117
5864316.599	3	bandit	1	10	0.9628
5864323.582	3	bandit	1	0	2.1129
5864331.57	3	bandit	2	0	1.0783
5864338.55	3	bandit	1	0	0.7206
5864346.536	3	bandit	3	10	0.6929
5864353.516	3	bandit	3	10	1.5212
5864364.5	3	bandit	3	0	1.4344
5864372.483	3	bandit	2	10	1.2228
5864382.468	3	bandit	2	0	0.8417
5864389.449	3	bandit	1	10	1.112
5864396.431	3	bandit	1	10	2.3164
5864405.415	3	bandit	1	10	1.3147
5864412.398	3	bandit	1	10	1.7306
5864419.381	3	bandit	1	10	1.2005
5864426.364	3	bandit	1	10	1.1696
5864433.348	3	bandit	1	10	1.3059
5864440.332	3	bandit	1	0	1.1697
5864447.314	3	bandit	2	0	0.7583
5864455.297	3	bandit	3	10	0.6136
5864463.281	3	bandit	3	0	0.8807
5864471.264	3	bandit	3	0	0.6067
5864478.247	3	bandit	2	0	0.5769
5864485.23	3	bandit	1	10	0.6672
5864493.214	3	bandit	1	10	0.66
5864508.88	3	bandit	1	10	1.1459
5864515.863	3	bandit	1	0	0.9859
5864523.846	3	bandit	1	0	0.6755
5864533.831	3	bandit	2	0	0.7833
5864542.813	3	bandit	3	0	0.5989
5864550.796	3	bandit	1	10	0.5382
5864557.781	3	bandit	1	0	1.0407
5864565.763	3	bandit	2	0	0.5989
5864572.747	3	bandit	3	10	0.6323
5864579.729	3	bandit	3	0	0.6591
5864587.716	3	bandit	1	0	0.5928
5864594.695	3	bandit	2	0	0.9314
5864604.679	3	bandit	3	0	0.6323
5864611.667	3	bandit	3	0	0.7665
5864620.645	3	bandit	1	10	0.8873
5864627.629	3	bandit	1	0	2.0422
5864634.612	3	bandit	2	0	0.628
5864641.595	3	bandit	3	0	0.8662
5864648.578	3	bandit	1	10	0.7354
5864656.561	3	bandit	1	0	0.6143
5864663.545	3	bandit	2	10	0.6754
5864671.529	3	bandit	2	10	0.7337
5864679.515	3	bandit	2	10	0.9552
5864690.511	3	bandit	2	10	0.6506
5864697.494	3	bandit	2	0	1.0535
5864704.478	3	bandit	2	10	1.4992
5864711.463	3	bandit	2	10	0.9312
5864719.447	3	bandit	2	10	0.7492
5864726.427	3	bandit	2	10	0.8797
5864734.41	3	bandit	2	10	0.651
5864750.144	3	bandit	1	10	1.2464
5864757.127	3	bandit	1	10	0.8983
5864765.11	3	bandit	1	10	0.8398
5864772.093	3	bandit	1	10	1.1088
5864779.076	3	bandit	1	0	0.9038
5864788.06	3	bandit	2	0	0.6763
5864795.044	3	bandit	1	10	0.6505
5864802.029	3	bandit	1	10	0.889
5864809.01	3	bandit	1	0	0.9546
5864816.993	3	bandit	3	10	0.888
5864823.993	3	bandit	3	10	0.7803
5864831.977	3	bandit	3	0	1.1132
5864838.962	3	bandit	1	0	0.9769
5864845.944	3	bandit	2	0	0.5612
5864853.926	3	bandit	1	0	0.485
5864860.913	3	bandit	3	10	0.5236
5864867.894	3	bandit	3	0	0.7182
5864874.875	3	bandit	3	0	0.8144
5864881.86	3	bandit	3	10	1.3847
5864888.846	3	bandit	3	10	1.3996
5864895.825	3	bandit	3	10	1.316
5864903.811	3	bandit	3	10	1.4222
5864911.795	3	bandit	3	10	1.0632
5864918.776	3	bandit	3	0	1.0709
5864925.759	3	bandit	3	10	1.0357
5864932.743	3	bandit	3	10	1.1166
5864939.729	3	bandit	3	0	0.9115
5864946.71	3	bandit	3	0	0.8811
5864953.691	3	bandit	1	0	1.0175
5864960.676	3	bandit	2	0	0.934
5864974.757	3	bandit	1	10	1.1032
5864981.742	3	bandit	1	0	0.607
5864988.727	3	bandit	1	0	0.8351
5864995.724	3	bandit	1	0	0.7436
5865002.724	3	bandit	3	10	0.4938
5865009.707	3	bandit	3	0	0.6228
5865018.707	3	bandit	3	0	0.5849
5865025.695	3	bandit	2	0	0.89
5865032.69	3	bandit	1	0	0.8985
5865039.676	3	bandit	2	10	0.4604
5865046.659	3	bandit	2	10	1.8011
5865055.643	3	bandit	2	10	0.8134
5865063.623	3	bandit	2	10	0.6099
5865072.609	3	bandit	2	10	0.7592
5865081.589	3	bandit	2	10	1.448
5865088.589	3	bandit	2	10	1.145
5865095.575	3	bandit	2	10	0.819
5865102.572	3	bandit	2	10	0.5601
5865109.556	3	bandit	2	10	1.2317
5865116.539	3	bandit	2	10	0.9108
5865123.526	3	bandit	2	10	0.9085
5865132.509	3	bandit	2	10	0.7879
5865140.505	3	bandit	2	0	0.6898
5865147.493	3	bandit	1	0	0.7823
5865154.475	3	bandit	1	10	1.1665
5865164.472	3	bandit	1	0	0.8194
5865171.458	3	bandit	3	0	0.7811
5865179.455	3	bandit	2	0	0.6283
5865186.455	3	bandit	3	0	1.3454
5865194.441	3	bandit	1	0	0.6746
5865209.804	3	bandit	2	10	1.4102
5865216.788	3	bandit	2	0	1.4182
5865225.771	3	bandit	2	0	0.5596
5865233.771	3	bandit	1	10	0.3502
5865241.771	3	bandit	1	10	0.5299
5865250.754	3	bandit	1	10	0.7659
5865257.737	3	bandit	1	10	0.7958
5865265.72	3	bandit	1	10	0.606
5865272.72	3	bandit	1	10	0.7205
5865279.703	3	bandit	1	10	1.6206
5865286.687	3	bandit	1	10	1.2005
5865293.674	3	bandit	1	10	0.6082
5865303.654	3	bandit	1	10	0.677
5865310.653	3	bandit	1	0	1.3529
5865318.636	3	bandit	1	0	1.1096
5865325.62	3	bandit	2	0	1.2016
5865332.603	3	bandit	3	0	0.7724
5865339.586	3	bandit	3	0	1.0779
5865346.573	3	bandit	2	0	1.371
5865353.557	3	bandit	2	0	1.9928
5865360.536	3	bandit	1	10	1.322
5865367.519	3	bandit	1	10	1.1469
5865374.519	3	bandit	1	10	1.2346
5865381.507	3	bandit	1	10	0.8462
5865389.502	3	bandit	1	10	1.2143
5865396.489	3	bandit	1	10	0.8653
5865404.485	3	bandit	1	10	0.9003
5865411.468	3	bandit	1	0	0.5555
5865421.452	3	bandit	2	0	0.7053
5865430.452	3	bandit	3	0	1.2443
5865446.918	3	bandit	1	0	1.7329
5865455.918	3	bandit	3	0	0.7962
5865462.901	3	bandit	2	0	0.8418
5865469.901	3	bandit	1	0	1.1388
5865476.884	3	bandit	2	10	1.0662
5865483.868	3	bandit	2	10	0.9114
5865490.851	3	bandit	2	0	1.796
5865497.834	3	bandit	2	0	0.9742
5865504.817	3	bandit	2	10	0.9199
5865511.8	3	bandit	2	0	0.63
5865518.784	3	bandit	1	0	0.7895
5865526.767	3	bandit	3	10	1.3819
5865533.75	3	bandit	3	10	1.3009
5865542.738	3	bandit	3	10	0.759
5865549.733	3	bandit	3	0	1.5954
5865557.733	3	bandit	3	10	1.0489
5865566.721	3	bandit	3	0	1.0678
5865573.7	3	bandit	1	0	0.782
5865580.683	3	bandit	2	0	0.8973
5865587.666	3	bandit	2	10	1.5345
5865596.649	3	bandit	2	0	0.7986
5865603.633	3	bandit	1	0	0.8745
