onset	duration	type	choice	rwdval	RT
2063751.003	3	bandit	1	0	1.2439
2063757.986	3	bandit	2	10	0.7019
2063764.969	3	bandit	3	0	0.9651
2063771.952	3	bandit	3	10	1.0103
2063778.936	3	bandit	2	0	0.4705
2063785.923	3	bandit	1	0	0.296
2063792.902	3	bandit	1	10	0.478
2063799.885	3	bandit	2	0	0.351
2063807.871	3	bandit	3	10	0.5447
2063814.852	3	bandit	1	0	0.506
2063823.839	3	bandit	3	10	0.5182
2063831.819	3	bandit	2	0	0.5924
2063839.804	3	bandit	3	0	0.3027
2063847.786	3	bandit	3	10	0.3371
2063854.768	3	bandit	3	10	0.4316
2063862.753	3	bandit	3	10	0.3372
2063869.734	3	bandit	3	10	0.565
2063878.718	3	bandit	3	0	0.2843
2063885.701	3	bandit	3	10	0.4391
2063893.684	3	bandit	3	10	0.4103
2063901.67	3	bandit	3	10	0.2891
2063909.652	3	bandit	3	10	0.2967
2063917.635	3	bandit	3	0	0.2892
2063924.617	3	bandit	3	0	0.478
2063931.6	3	bandit	3	0	0.419
2063940.586	3	bandit	1	0	0.5049
2063948.57	3	bandit	2	0	0.4048
2063955.55	3	bandit	3	0	0.5257
2063962.533	3	bandit	3	0	0.5791
2063969.517	3	bandit	3	10	0.2487
2063983.952	3	bandit	1	0	0.7507
2063990.933	3	bandit	3	0	0.639
2063997.916	3	bandit	2	0	0.4242
2064004.901	3	bandit	3	0	0.2975
2064012.883	3	bandit	3	0	0.3642
2064022.867	3	bandit	3	0	0.4043
2064029.85	3	bandit	1	0	0.4252
2064036.832	3	bandit	2	0	0.3844
2064043.816	3	bandit	1	10	0.4867
2064050.8	3	bandit	2	0	0.3439
2064057.782	3	bandit	1	0	0.3641
2064065.765	3	bandit	1	10	0.3091
2064073.753	3	bandit	3	0	0.5106
2064080.734	3	bandit	1	0	1.1942
2064087.715	3	bandit	1	10	0.3245
2064096.7	3	bandit	1	0	0.5854
2064104.681	3	bandit	1	10	0.3723
2064111.665	3	bandit	1	0	0.6464
2064120.651	3	bandit	1	10	0.3443
2064127.633	3	bandit	1	10	0.3161
2064135.614	3	bandit	1	10	0.4253
2064142.599	3	bandit	1	10	0.4908
2064149.581	3	bandit	1	10	0.5854
2064157.568	3	bandit	1	0	0.5205
2064164.548	3	bandit	1	10	0.338
2064171.533	3	bandit	1	0	0.4911
2064178.514	3	bandit	1	0	0.3438
2064185.498	3	bandit	1	10	0.2364
2064192.481	3	bandit	1	10	0.4778
2064201.464	3	bandit	1	10	0.5375
2064214.83	3	bandit	1	0	0.7963
2064222.817	3	bandit	1	10	0.3582
2064230.798	3	bandit	1	10	0.4047
2064237.781	3	bandit	1	10	0.5785
2064244.763	3	bandit	1	10	0.3372
2064252.746	3	bandit	1	10	0.4667
2064260.73	3	bandit	1	10	0.6991
2064267.715	3	bandit	1	10	0.8151
2064274.697	3	bandit	1	10	0.5271
2064281.68	3	bandit	1	10	0.3635
2064288.664	3	bandit	1	0	0.2823
2064297.646	3	bandit	1	0	0.4041
2064305.629	3	bandit	1	0	0.2417
2064313.612	3	bandit	2	0	0.3234
2064320.596	3	bandit	3	0	0.4725
2064328.583	3	bandit	3	0	0.6687
2064337.563	3	bandit	2	0	0.4109
2064344.546	3	bandit	2	0	0.8432
2064352.528	3	bandit	3	10	0.4789
2064359.514	3	bandit	3	0	0.768
2064366.496	3	bandit	3	10	0.3165
2064373.479	3	bandit	3	10	0.5784
2064381.461	3	bandit	3	10	0.3434
2064390.445	3	bandit	3	0	0.6261
2064397.43	3	bandit	1	0	0.4514
2064405.411	3	bandit	3	0	0.2902
2064412.395	3	bandit	3	0	0.2973
2064420.378	3	bandit	2	0	0.438
2064427.362	3	bandit	3	10	0.3516
2064434.344	3	bandit	3	10	0.2963
2064449.861	3	bandit	1	0	2.7441
2064457.844	3	bandit	3	0	0.2957
2064464.829	3	bandit	2	0	0.3841
2064472.813	3	bandit	3	0	0.3299
2064479.793	3	bandit	3	0	0.5107
2064486.778	3	bandit	3	0	0.3163
2064497.76	3	bandit	1	0	0.5992
2064504.745	3	bandit	1	0	0.5584
2064511.728	3	bandit	2	10	0.6732
2064519.71	3	bandit	2	0	0.3096
2064526.696	3	bandit	2	10	0.2758
2064533.677	3	bandit	2	0	0.4174
2064540.662	3	bandit	2	0	0.3101
2064547.643	3	bandit	2	0	0.4117
2064554.628	3	bandit	3	0	0.195
2064561.612	3	bandit	1	0	0.2482
2064568.595	3	bandit	2	10	0.3032
2064576.576	3	bandit	2	10	0.303
2064583.561	3	bandit	2	0	0.6661
2064590.545	3	bandit	2	0	0.8755
2064597.528	3	bandit	2	10	0.384
2064605.509	3	bandit	2	10	0.3708
2064612.494	3	bandit	2	0	0.7609
2064619.478	3	bandit	2	10	0.5518
2064626.463	3	bandit	2	10	0.2636
2064633.441	3	bandit	2	10	0.3233
2064640.427	3	bandit	2	0	0.5453
2064647.408	3	bandit	2	0	0.2981
2064656.391	3	bandit	3	0	0.3566
2064663.377	3	bandit	1	10	0.3773
2064678.641	3	bandit	1	0	1.0939
2064685.628	3	bandit	1	0	0.5856
2064692.611	3	bandit	2	10	0.6673
2064700.591	3	bandit	2	0	0.3233
2064707.574	3	bandit	3	10	0.2764
2064714.559	3	bandit	3	10	0.391
2064721.544	3	bandit	3	0	0.5182
2064729.524	3	bandit	3	0	0.3442
2064736.511	3	bandit	3	10	0.8575
2064744.507	3	bandit	3	10	0.3299
2064752.495	3	bandit	3	10	0.3168
2064759.477	3	bandit	3	10	0.878
2064767.473	3	bandit	3	10	0.4509
2064776.456	3	bandit	3	10	0.371
2064784.443	3	bandit	3	0	0.5459
2064791.428	3	bandit	3	0	0.6814
2064800.411	3	bandit	2	0	0.4712
2064807.394	3	bandit	2	0	0.6668
2064814.373	3	bandit	1	0	0.4245
2064821.359	3	bandit	1	0	0.3232
2064828.339	3	bandit	3	10	0.6285
2064835.325	3	bandit	3	10	0.8569
2064842.309	3	bandit	3	10	0.3571
2064852.305	3	bandit	3	0	0.4646
2064862.292	3	bandit	3	0	0.4988
2064870.272	3	bandit	3	0	0.3843
2064877.26	3	bandit	3	10	0.4388
2064884.238	3	bandit	1	0	0.6531
2064892.238	3	bandit	1	0	0.4314
2064900.221	3	bandit	1	0	0.3172
2064913.671	3	bandit	2	10	1.0145
2064923.654	3	bandit	2	0	0.3986
2064930.638	3	bandit	3	0	0.364
2064938.621	3	bandit	1	0	0.2855
2064945.608	3	bandit	2	10	0.3506
2064952.591	3	bandit	2	10	0.7813
2064961.571	3	bandit	2	10	0.3838
2064968.559	3	bandit	2	0	0.6808
2064976.537	3	bandit	2	10	0.5928
2064988.52	3	bandit	2	10	0.6826
2064995.508	3	bandit	2	10	0.343
2065002.491	3	bandit	2	0	0.3716
2065009.47	3	bandit	2	10	0.2769
2065016.453	3	bandit	2	10	1.0303
2065023.441	3	bandit	2	10	0.8496
2065030.42	3	bandit	2	0	0.518
2065037.403	3	bandit	2	10	0.2629
2065044.386	3	bandit	2	10	0.454
2065052.386	3	bandit	2	10	0.3374
2065059.369	3	bandit	2	0	0.7063
2065066.357	3	bandit	2	10	0.8228
2065077.353	3	bandit	2	10	0.365
2065084.34	3	bandit	2	10	0.9979
2065093.319	3	bandit	2	10	0.8972
2065101.319	3	bandit	2	0	0.2758
2065108.302	3	bandit	2	0	0.6741
2065115.29	3	bandit	3	0	0.5255
2065122.273	3	bandit	3	0	0.3904
