onset	duration	type	choice	rwdval	RT
944848.9987	3	bandit	1	0	0.8626
944855.9829	3	bandit	2	10	0.5259
944862.9651	3	bandit	3	10	0.736
944870.9498	3	bandit	2	0	0.5812
944878.9316	3	bandit	3	10	0.6836
944885.9149	3	bandit	3	10	0.5552
944892.8982	3	bandit	3	10	0.8405
944899.8813	3	bandit	3	0	0.4874
944907.8646	3	bandit	3	10	1.1263
944914.8478	3	bandit	3	10	0.9759
944921.8311	3	bandit	3	10	1.0885
944928.8143	3	bandit	3	0	0.8486
944935.7976	3	bandit	3	0	1.4877
944942.7808	3	bandit	2	0	0.4356
944949.7641	3	bandit	3	0	1.132
944957.7479	3	bandit	1	10	0.6012
944966.7318	3	bandit	1	0	0.5395
944973.7138	3	bandit	1	10	1.1787
944980.6974	3	bandit	1	0	1.5404
944988.6822	3	bandit	3	10	0.5036
944997.6635	3	bandit	3	0	0.6547
945004.6482	3	bandit	3	0	0.6753
945011.6303	3	bandit	2	0	0.4522
945018.6138	3	bandit	2	0	0.7056
945025.5965	3	bandit	3	0	0.4212
945033.5828	3	bandit	3	0	0.5636
945040.563	3	bandit	1	0	0.3318
945048.5481	3	bandit	1	10	0.505
945055.5301	3	bandit	1	10	0.4743
945062.5129	3	bandit	1	10	0.9606
945077.7792	3	bandit	1	10	0.36
945086.7644	3	bandit	1	10	0.4519
945093.7462	3	bandit	1	10	0.7133
945105.7332	3	bandit	1	10	0.5626
945112.713	3	bandit	1	0	0.9088
945120.6986	3	bandit	1	0	0.5926
945127.6794	3	bandit	2	0	0.5781
945134.6625	3	bandit	2	10	0.6527
945142.6473	3	bandit	2	0	0.8795
945150.6282	3	bandit	3	0	0.4746
945157.6124	3	bandit	3	10	0.5347
945165.5955	3	bandit	3	0	0.8329
945174.5813	3	bandit	1	0	0.5854
945181.5622	3	bandit	1	0	0.752
945190.5445	3	bandit	2	0	1.2187
945197.5288	3	bandit	3	10	1.0218
945204.5124	3	bandit	3	0	0.4432
945211.4953	3	bandit	3	0	0.7896
945218.4803	3	bandit	1	0	0.5421
945225.4611	3	bandit	2	0	0.406
945232.445	3	bandit	2	0	0.5557
945240.43	3	bandit	1	0	0.4811
945248.4129	3	bandit	1	10	0.5479
945256.3956	3	bandit	1	0	0.7511
945263.3794	3	bandit	3	0	0.849
945270.3612	3	bandit	2	0	0.5623
945278.3465	3	bandit	2	0	0.5413
945285.3276	3	bandit	2	0	0.5936
945293.3125	3	bandit	1	0	0.451
945301.2963	3	bandit	1	0	0.5711
945314.8929	3	bandit	1	0	0.5928
945323.8808	3	bandit	1	0	0.3915
945330.8616	3	bandit	1	0	0.6229
945337.8446	3	bandit	2	0	0.5785
945345.8299	3	bandit	2	0	0.4734
945352.8117	3	bandit	2	0	0.6248
945359.7943	3	bandit	3	0	0.548
945366.7791	3	bandit	3	0	0.5486
945374.7589	3	bandit	3	0	0.4358
945381.745	3	bandit	3	0	0.6302
945388.7278	3	bandit	2	0	0.491
945396.7117	3	bandit	1	10	0.5188
945403.6945	3	bandit	1	10	0.6687
945410.6785	3	bandit	1	10	0.983
945417.6604	3	bandit	1	10	0.5477
945424.6439	3	bandit	1	10	0.4452
945431.6287	3	bandit	1	10	0.7469
945439.6112	3	bandit	1	10	0.5121
945447.5946	3	bandit	1	10	0.8052
945454.5777	3	bandit	1	10	0.7388
945461.5603	3	bandit	1	10	0.768
945469.5451	3	bandit	1	10	0.5409
945476.5267	3	bandit	1	10	0.7439
945484.5106	3	bandit	1	10	0.5497
945492.4906	3	bandit	1	10	0.7912
945499.4763	3	bandit	1	0	0.8751
945506.4599	3	bandit	1	10	0.7534
945515.4403	3	bandit	1	0	0.6022
945523.4279	3	bandit	1	0	0.6407
945530.4105	3	bandit	1	0	0.7001
945543.69	3	bandit	1	0	0.6534
945550.6762	3	bandit	1	0	0.3842
945559.661	3	bandit	1	0	0.3689
945566.6428	3	bandit	2	0	0.3757
945573.6269	3	bandit	2	10	0.7594
945580.6089	3	bandit	2	0	0.5482
945587.5895	3	bandit	3	10	0.594
945594.5766	3	bandit	3	10	0.6321
945601.5584	3	bandit	3	10	0.6839
945609.5392	3	bandit	3	10	0.774
945616.5253	3	bandit	3	10	0.7206
945623.5102	3	bandit	3	10	0.9091
945630.4932	3	bandit	3	10	0.8056
945637.4722	3	bandit	3	0	0.8499
945644.4553	3	bandit	3	10	0.8474
945651.4428	3	bandit	3	10	2.2944
945658.4259	3	bandit	3	10	1.4265
945666.4092	3	bandit	3	10	0.6473
945673.3929	3	bandit	3	0	0.7685
945680.3716	3	bandit	3	10	0.624
945688.3549	3	bandit	3	10	0.7807
945697.3381	3	bandit	3	10	0.5875
945704.3213	3	bandit	3	10	0.8866
945711.3045	3	bandit	3	10	0.7506
945721.2878	3	bandit	3	10	0.5787
945728.2746	3	bandit	3	10	0.573
945735.2542	3	bandit	3	0	0.474
945742.2375	3	bandit	3	10	0.6319
945753.2211	3	bandit	3	0	0.5725
945760.204	3	bandit	3	0	0.3243
945774.5538	3	bandit	1	10	0.4125
945781.5419	3	bandit	1	10	0.3996
945789.5202	3	bandit	1	0	0.7066
945796.5081	3	bandit	2	0	0.4444
945806.4867	3	bandit	2	0	0.5276
945813.4747	3	bandit	2	10	0.7889
945820.4532	3	bandit	3	0	0.5646
945827.4364	3	bandit	3	0	0.5645
945834.4244	3	bandit	3	0	0.511
945842.403	3	bandit	1	0	0.5331
945849.3862	3	bandit	1	0	0.3928
945856.3742	3	bandit	2	0	0.4223
945863.3526	3	bandit	2	10	0.6085
945871.3359	3	bandit	2	10	0.3089
945878.3235	3	bandit	2	10	0.0523
945885.3023	3	bandit	2	10	0.3537
945894.2858	3	bandit	2	10	0.6688
945901.2688	3	bandit	2	10	0.7017
945909.2521	3	bandit	2	10	0.354
945917.2353	3	bandit	2	10	0.5707
945924.2185	3	bandit	2	10	0.6546
945933.202	3	bandit	2	10	0.4303
945940.19	3	bandit	2	10	0.4313
945949.185	3	bandit	2	10	0.6759
945956.1681	3	bandit	2	10	0.5717
945963.1514	3	bandit	2	10	0.8186
945970.1346	3	bandit	2	0	0.6829
945977.1179	3	bandit	2	0	0.4801
945987.1011	3	bandit	2	10	0.5634
945996.101	3	bandit	2	10	0.7
946011.6508	3	bandit	1	10	0.5399
946019.634	3	bandit	1	0	0.4207
946027.6172	3	bandit	1	10	0.6377
946034.6005	3	bandit	2	0	0.5812
946041.5837	3	bandit	2	0	0.6307
946048.567	3	bandit	2	0	0.3775
946055.5503	3	bandit	3	10	0.3905
946064.5502	3	bandit	3	0	0.5122
946071.5334	3	bandit	3	0	0.4814
946080.517	3	bandit	1	0	0.4076
946088.4998	3	bandit	1	10	0.3457
946097.4997	3	bandit	1	10	0.4199
946105.4833	3	bandit	1	0	0.5116
946112.4662	3	bandit	1	0	0.4881
946120.4495	3	bandit	1	0	0.5411
946128.4327	3	bandit	3	10	0.3982
946137.4159	3	bandit	3	10	0.5327
946145.3991	3	bandit	3	10	0.406
946152.3824	3	bandit	3	0	0.5037
946160.3655	3	bandit	3	10	0.5884
946167.3489	3	bandit	3	10	0.5858
946174.3321	3	bandit	3	10	0.615
946181.3153	3	bandit	3	0	0.5562
946188.2986	3	bandit	3	10	0.5876
946196.2818	3	bandit	3	10	0.6312
946203.265	3	bandit	3	10	0.7958
946213.265	3	bandit	3	10	0.5112
946220.2482	3	bandit	3	0	0.5179
946227.2314	3	bandit	3	10	0.458
946235.215	3	bandit	3	10	0.5554
