onset	duration	type	choice	rwdval	RT
8276323.379	3	bandit	1	0	1.1755
8276330.366	3	bandit	2	0	1.3467
8276337.346	3	bandit	3	10	0.5314
8276344.331	3	bandit	3	0	0.499
8276351.314	3	bandit	1	0	2.2309
8276358.295	3	bandit	2	10	1.25
8276365.279	3	bandit	2	0	0.8535
8276374.262	3	bandit	3	0	0.7607
8276383.246	3	bandit	2	10	0.5564
8276391.228	3	bandit	2	0	0.6324
8276398.214	3	bandit	2	0	0.5452
8276405.197	3	bandit	3	10	0.7587
8276415.178	3	bandit	3	10	0.7467
8276422.163	3	bandit	3	10	0.5318
8276429.145	3	bandit	3	0	0.6242
8276436.128	3	bandit	3	10	0.4494
8276443.111	3	bandit	3	0	0.5172
8276451.094	3	bandit	3	10	0.5559
8276458.077	3	bandit	3	10	0.8663
8276465.064	3	bandit	3	0	1.0388
8276472.044	3	bandit	3	10	0.5778
8276480.031	3	bandit	3	10	0.6426
8276487.013	3	bandit	3	10	0.7912
8276493.994	3	bandit	3	10	1.6838
8276500.979	3	bandit	3	10	0.941
8276507.962	3	bandit	3	0	0.8662
8276514.96	3	bandit	3	10	0.757
8276522.948	3	bandit	3	10	0.6304
8276529.931	3	bandit	3	0	0.5486
8276536.91	3	bandit	3	10	0.4501
8276552.16	3	bandit	1	0	1.1333
8276559.146	3	bandit	2	0	0.563
8276566.128	3	bandit	3	0	0.6865
8276574.112	3	bandit	1	0	0.6101
8276581.093	3	bandit	2	10	0.8061
8276588.076	3	bandit	2	10	0.5381
8276595.059	3	bandit	2	0	0.8925
8276602.045	3	bandit	2	0	0.5704
8276611.026	3	bandit	2	10	0.4707
8276619.009	3	bandit	2	0	0.7796
8276625.992	3	bandit	2	0	0.6239
8276632.979	3	bandit	2	10	0.7331
8276639.962	3	bandit	2	0	0.5839
8276646.942	3	bandit	3	0	0.3907
8276653.93	3	bandit	3	0	0.3831
8276662.909	3	bandit	3	10	0.62
8276670.891	3	bandit	3	0	0.6391
8276677.875	3	bandit	3	0	0.6403
8276684.86	3	bandit	3	0	0.3416
8276691.841	3	bandit	3	0	0.3764
8276700.824	3	bandit	3	0	0.3351
8276708.808	3	bandit	1	10	0.4296
8276715.791	3	bandit	1	0	0.4783
8276722.774	3	bandit	1	10	0.4632
8276729.757	3	bandit	1	10	0.6228
8276736.745	3	bandit	1	0	0.7136
8276743.724	3	bandit	2	0	0.6573
8276750.707	3	bandit	3	0	0.3702
8276757.69	3	bandit	1	10	0.4038
8276764.674	3	bandit	1	0	0.88
8276778.857	3	bandit	1	0	1.1739
8276785.84	3	bandit	2	10	1.3767
8276793.823	3	bandit	2	10	0.6192
8276800.806	3	bandit	2	0	0.7774
8276810.79	3	bandit	3	0	0.6442
8276817.777	3	bandit	1	0	2.9291
8276827.756	3	bandit	2	0	0.6577
8276835.739	3	bandit	3	10	0.5242
8276843.723	3	bandit	3	0	0.5237
8276850.71	3	bandit	1	0	0.5784
8276857.692	3	bandit	2	0	0.5495
8276864.672	3	bandit	3	0	0.5115
8276872.656	3	bandit	1	0	0.4302
8276880.639	3	bandit	2	0	0.6919
8276887.622	3	bandit	3	10	0.7327
8276894.605	3	bandit	3	0	0.4753
8276901.588	3	bandit	1	0	0.3234
8276910.572	3	bandit	2	0	0.6725
8276917.555	3	bandit	3	10	0.7718
8276924.538	3	bandit	3	0	0.7974
8276931.521	3	bandit	3	10	1.045
8276939.507	3	bandit	1	0	0.4034
8276946.488	3	bandit	2	0	1.2773
8276955.471	3	bandit	3	10	0.6246
8276963.457	3	bandit	3	10	1.3959
8276970.442	3	bandit	3	10	1.5485
8276978.421	3	bandit	3	0	1.545
8276985.404	3	bandit	1	0	0.5508
8276993.392	3	bandit	2	10	0.6589
8277000.371	3	bandit	2	0	0.711
8277013.89	3	bandit	1	10	0.9603
