onset	duration	type	choice	rwdval	RT
8387944.471	3	bandit	1	0	2.2114
8387951.452	3	bandit	2	0	0.8449
8387959.436	3	bandit	3	10	1.219
8387967.419	3	bandit	3	0	0.8506
8387974.4	3	bandit	2	0	2.1281
8387981.385	3	bandit	3	10	2.7873
8387988.369	3	bandit	3	0	2.3009
8388002.85	3	bandit	1	10	1.2681
8388009.834	3	bandit	1	0	0.5778
8388020.816	3	bandit	2	10	0.9662
8388027.801	3	bandit	2	10	0.8323
8388035.785	3	bandit	2	0	1.427
8388042.767	3	bandit	1	0	0.5362
8388049.75	3	bandit	3	0	1.1195
8388056.734	3	bandit	3	0	0.7775
8388063.716	3	bandit	1	0	0.5957
8388070.701	3	bandit	1	10	0.3819
8388077.684	3	bandit	1	0	0.4702
8388086.665	3	bandit	2	10	0.6829
8388093.65	3	bandit	2	10	1.2592
8388100.634	3	bandit	2	10	1.3075
8388107.617	3	bandit	2	10	1.0107
8388115.598	3	bandit	2	0	0.878
8388122.584	3	bandit	1	0	0.6026
8388129.569	3	bandit	1	0	0.9503
8388136.552	3	bandit	2	0	0.7961
8388144.535	3	bandit	3	0	0.5689
8388151.516	3	bandit	3	0	0.4891
8388159.501	3	bandit	2	10	0.7034
8388167.481	3	bandit	2	10	0.6575
8388183.664	3	bandit	2	0	1.6148
8388192.651	3	bandit	1	10	0.65
8388200.634	3	bandit	1	0	0.8442
8388207.616	3	bandit	3	0	0.8911
8388214.6	3	bandit	1	0	1.615
8388221.583	3	bandit	2	0	1.6689
8388228.566	3	bandit	3	0	0.5907
8388235.547	3	bandit	2	0	0.4888
8388243.534	3	bandit	3	10	2.1009
8388250.517	3	bandit	3	0	0.7775
8388258.496	3	bandit	1	0	0.6838
8388268.48	3	bandit	2	0	0.7928
8388276.463	3	bandit	3	0	0.9917
8388284.446	3	bandit	3	0	0.8382
8388291.432	3	bandit	2	10	0.8529
8388298.413	3	bandit	2	10	0.7377
8388305.399	3	bandit	2	0	0.8041
8388312.382	3	bandit	1	0	1.0011
8388320.366	3	bandit	2	0	1.3066
8388327.349	3	bandit	3	0	0.4481
8388334.332	3	bandit	3	0	0.7771
8388341.315	3	bandit	1	10	1.1064
8388348.3	3	bandit	1	10	1.178
8388355.283	3	bandit	1	0	1.5292
8388362.265	3	bandit	2	10	0.7711
8388369.249	3	bandit	2	0	1.0392
8388379.229	3	bandit	3	0	1.0255
8388386.211	3	bandit	1	10	0.6364
8388393.195	3	bandit	1	0	0.6623
8388401.178	3	bandit	1	10	1.2416
8388414.528	3	bandit	2	0	1.3867
8388421.515	3	bandit	1	10	0.9438
8388428.494	3	bandit	1	10	0.4898
8388435.481	3	bandit	1	10	0.6979
8388445.463	3	bandit	1	10	0.8647
8388452.448	3	bandit	1	0	1.361
8388459.431	3	bandit	2	0	1.0468
8388470.415	3	bandit	3	10	1.2803
8388479.41	3	bandit	3	10	0.8611
8388487.393	3	bandit	3	0	0.6983
8388495.377	3	bandit	2	0	0.7299
8388502.365	3	bandit	1	0	0.4827
8388512.346	3	bandit	3	0	0.6767
8388519.326	3	bandit	3	0	0.7093
8388526.314	3	bandit	2	0	1.1058
8388533.293	3	bandit	2	0	0.5706
8388540.28	3	bandit	1	0	0.657
8388547.259	3	bandit	1	0	0.5835
8388554.243	3	bandit	3	10	0.6766
8388562.227	3	bandit	3	10	1.0799
8388570.209	3	bandit	3	10	0.6426
8388578.192	3	bandit	3	10	0.8641
