onset	duration	type	repeat
8391571.087	0.5	2	0
8391572.887	0.5	2	0
8391574.688	0.5	2	1
8391576.487	0.5	2	0
8391578.287	0.5	2	0
8391580.088	0.5	2	0
8391581.887	0.5	2	0
8391583.687	0.5	2	0
8391585.487	0.5	2	1
8391587.287	0.5	2	0
8391601.087	0.5	2	0
8391602.887	0.5	2	1
8391604.687	0.5	2	0
8391606.487	0.5	2	1
8391608.287	0.5	2	0
8391610.087	0.5	2	0
8391611.887	0.5	2	0
8391613.687	0.5	2	0
8391615.487	0.5	2	0
8391617.287	0.5	2	0
8391631.087	0.5	2	0
8391632.886	0.5	2	0
8391634.686	0.5	2	0
8391636.486	0.5	2	0
8391638.286	0.5	2	0
8391640.086	0.5	2	1
8391641.886	0.5	2	0
8391643.686	0.5	2	0
8391645.486	0.5	2	0
8391647.286	0.5	2	1
8391661.086	0.5	3	0
8391662.886	0.5	3	0
8391664.686	0.5	3	0
8391666.486	0.5	3	0
8391668.286	0.5	3	1
8391670.086	0.5	3	0
8391671.886	0.5	3	0
8391673.686	0.5	3	1
8391675.486	0.5	3	0
8391677.286	0.5	3	0
8391691.086	0.5	1	0
8391692.886	0.5	1	0
8391694.686	0.5	1	1
8391696.486	0.5	1	0
8391698.286	0.5	1	0
8391700.086	0.5	1	0
8391701.885	0.5	1	1
8391703.685	0.5	1	0
8391705.485	0.5	1	0
8391707.285	0.5	1	0
8391721.085	0.5	2	0
8391722.885	0.5	2	1
8391724.685	0.5	2	0
8391726.485	0.5	2	0
8391728.285	0.5	2	0
8391730.085	0.5	2	0
8391731.885	0.5	2	0
8391733.685	0.5	2	0
8391735.485	0.5	2	0
8391737.285	0.5	2	1
8391751.085	0.5	3	0
8391752.885	0.5	3	0
8391754.685	0.5	3	0
8391756.485	0.5	3	0
8391758.285	0.5	3	0
8391760.085	0.5	3	1
8391761.885	0.5	3	0
8391763.685	0.5	3	0
8391765.485	0.5	3	0
8391767.285	0.5	3	1
8391781.085	0.5	3	0
8391782.885	0.5	3	1
8391784.684	0.5	3	0
8391786.484	0.5	3	0
8391788.284	0.5	3	0
8391790.084	0.5	3	0
8391791.884	0.5	3	0
8391793.684	0.5	3	0
8391795.484	0.5	3	0
8391797.284	0.5	3	1
8391811.084	0.5	1	0
8391812.884	0.5	1	0
8391814.684	0.5	1	1
8391816.484	0.5	1	0
8391818.284	0.5	1	0
8391820.084	0.5	1	0
8391821.884	0.5	1	0
8391823.684	0.5	1	1
8391825.484	0.5	1	0
8391827.284	0.5	1	0
8391841.084	0.5	2	0
8391842.884	0.5	2	0
8391844.684	0.5	2	0
8391846.484	0.5	2	0
8391848.284	0.5	2	0
8391850.084	0.5	2	0
8391851.884	0.5	2	1
8391853.684	0.5	2	0
8391855.484	0.5	2	1
8391857.284	0.5	2	0
8391871.083	0.5	2	0
8391872.883	0.5	2	0
8391874.683	0.5	2	1
8391876.484	0.5	2	0
8391878.284	0.5	2	0
8391880.083	0.5	2	1
8391881.883	0.5	2	0
8391883.683	0.5	2	0
8391885.483	0.5	2	0
8391887.283	0.5	2	0
8391901.083	0.5	2	0
8391902.883	0.5	2	0
8391904.683	0.5	2	0
8391906.483	0.5	2	0
8391908.283	0.5	2	0
8391910.083	0.5	2	0
8391911.883	0.5	2	1
8391913.683	0.5	2	0
8391915.483	0.5	2	1
8391917.283	0.5	2	0
8391931.083	0.5	3	0
8391932.883	0.5	3	0
8391934.683	0.5	3	0
8391936.483	0.5	3	0
8391938.283	0.5	3	1
8391940.083	0.5	3	0
8391941.882	0.5	3	0
8391943.682	0.5	3	1
8391945.482	0.5	3	0
8391947.282	0.5	3	0
8391961.082	0.5	1	0
8391962.882	0.5	1	0
8391964.682	0.5	1	1
8391966.482	0.5	1	0
8391968.282	0.5	1	0
8391970.082	0.5	1	0
8391971.882	0.5	1	0
8391973.682	0.5	1	0
8391975.482	0.5	1	1
8391977.282	0.5	1	0
8391991.082	0.5	3	0
8391992.882	0.5	3	0
8391994.682	0.5	3	1
