onset	duration	type	choice	rwdval	RT
2298030.503	3	bandit	2	0	1.151
2298038.686	3	bandit	1	10	1.9998
2298047.872	3	bandit	1	10	0.4426
2298056.055	3	bandit	1	0	0.475
2298067.221	3	bandit	2	0	0.8096
2298075.419	3	bandit	3	0	0.9507
2298083.585	3	bandit	1	10	2.0698
2298091.774	3	bandit	1	10	1.8795
2298099.966	3	bandit	1	10	1.1725
2298109.156	3	bandit	1	10	1.0101
2298117.343	3	bandit	1	10	0.603
2298125.527	3	bandit	1	10	0.3209
2298134.707	3	bandit	1	10	0.5953
2298142.888	3	bandit	1	10	1.7407
2298152.073	3	bandit	1	0	0.8495
2298160.253	3	bandit	1	10	0.5741
2298168.46	3	bandit	1	10	2.059
2298178.637	3	bandit	1	0	0.5685
2298186.803	3	bandit	1	0	1.3714
2298194.97	3	bandit	2	0	2.0433
2298203.153	3	bandit	1	10	1.7989
2298212.333	3	bandit	1	10	1.866
2298227.524	3	bandit	1	10	0.9847
2298235.703	3	bandit	1	10	2.0468
2298243.89	3	bandit	1	10	0.8689
2298253.071	3	bandit	1	10	0.394
2298261.263	3	bandit	1	0	0.5941
2298269.431	3	bandit	1	10	0.8162
2298278.62	3	bandit	1	0	1.0841
2298287.791	3	bandit	1	10	0.5615
2298305.1	3	bandit	3	10	1.6331
2298314.401	3	bandit	3	0	0.6486
2298322.682	3	bandit	3	0	0.5478
2298334.085	3	bandit	2	0	0.7157
2298342.368	3	bandit	3	0	0.8695
2298350.652	3	bandit	1	0	1.2019
2298358.93	3	bandit	3	10	0.6621
2298367.229	3	bandit	3	0	2.243
2298375.529	3	bandit	2	0	0.5414
2298383.83	3	bandit	3	0	0.4675
2298392.123	3	bandit	1	0	0.3541
2298400.416	3	bandit	2	0	0.8227
2298408.702	3	bandit	3	0	0.7841
2298416.985	3	bandit	0	0	3.0042
2298424.474	3	bandit	2	0	0.2139
2298434.768	3	bandit	3	10	0.3535
2298444.056	3	bandit	3	10	0.9707
2298452.347	3	bandit	3	0	1.2312
2298460.627	3	bandit	1	10	0.9569
2298468.911	3	bandit	1	0	0.7113
2298479.321	3	bandit	3	10	0.3083
2298487.611	3	bandit	3	10	1.0043
2298495.911	3	bandit	2	0	1.2322
2298504.233	3	bandit	1	10	0.6421
2298512.517	3	bandit	3	10	0.402
2298520.813	3	bandit	3	10	1.2847
2298529.121	3	bandit	1	0	0.9103
2298537.398	3	bandit	1	0	0.5767
2298545.69	3	bandit	3	10	0.5957
2298555.015	3	bandit	3	10	0.3018
2298571.338	3	bandit	2	0	0.8831
2298579.648	3	bandit	3	0	0.5684
2298587.951	3	bandit	1	0	0.1602
2298598.25	3	bandit	2	0	0.2072
2298609.545	3	bandit	1	0	0.3209
2298617.869	3	bandit	1	0	0.548
2298626.156	3	bandit	1	0	0.6431
2298634.507	3	bandit	3	0	2.6716
2298643.019	3	bandit	3	0	0.7773
2298653.331	3	bandit	2	0	0.4876
