onset	duration	type	repeat
8556957.802	0.5	2	0
8556959.602	0.5	2	0
8556961.402	0.5	2	0
8556963.202	0.5	2	1
8556965.002	0.5	2	0
8556966.802	0.5	2	0
8556968.602	0.5	2	0
8556970.402	0.5	2	0
8556972.202	0.5	2	1
8556974.002	0.5	2	0
8556987.802	0.5	2	0
8556989.602	0.5	2	0
8556991.402	0.5	2	0
8556993.202	0.5	2	0
8556995.002	0.5	2	1
8556996.802	0.5	2	0
8556998.602	0.5	2	0
8557000.402	0.5	2	0
8557002.202	0.5	2	1
8557004.002	0.5	2	0
8557017.802	0.5	1	0
8557019.602	0.5	1	0
8557021.402	0.5	1	0
8557023.202	0.5	1	0
8557025.002	0.5	1	1
8557026.802	0.5	1	0
8557028.602	0.5	1	0
8557030.402	0.5	1	0
8557032.202	0.5	1	1
8557034.001	0.5	1	0
8557047.803	0.5	3	0
8557049.601	0.5	3	0
8557051.401	0.5	3	0
8557053.202	0.5	3	1
8557055.001	0.5	3	0
8557056.801	0.5	3	0
8557058.601	0.5	3	1
8557060.401	0.5	3	0
8557062.201	0.5	3	0
8557064.001	0.5	3	0
8557077.801	0.5	3	0
8557079.601	0.5	3	0
8557081.401	0.5	3	0
8557083.201	0.5	3	0
8557085.001	0.5	3	0
8557086.801	0.5	3	0
8557088.601	0.5	3	1
8557090.401	0.5	3	0
8557092.201	0.5	3	1
8557094.001	0.5	3	0
8557107.801	0.5	3	0
8557109.601	0.5	3	1
8557111.401	0.5	3	0
8557113.201	0.5	3	0
8557115	0.5	3	0
8557116.8	0.5	3	0
8557118.6	0.5	3	0
8557120.4	0.5	3	1
8557122.2	0.5	3	0
8557124	0.5	3	0
8557137.8	0.5	1	0
8557139.6	0.5	1	0
8557141.4	0.5	1	1
8557143.2	0.5	1	0
8557145	0.5	1	0
8557146.8	0.5	1	0
8557148.6	0.5	1	0
8557150.401	0.5	1	0
8557152.2	0.5	1	0
8557154.001	0.5	1	1
8557167.8	0.5	3	0
8557169.6	0.5	3	1
8557171.4	0.5	3	0
8557173.2	0.5	3	0
8557175	0.5	3	0
8557176.8	0.5	3	0
8557178.6	0.5	3	1
8557180.4	0.5	3	0
8557182.2	0.5	3	0
8557184	0.5	3	0
8557197.802	0.5	2	0
8557199.599	0.5	2	0
8557201.399	0.5	2	0
8557203.199	0.5	2	0
8557204.999	0.5	2	1
8557206.799	0.5	2	0
8557208.599	0.5	2	1
8557210.399	0.5	2	0
8557212.199	0.5	2	0
8557213.999	0.5	2	0
8557227.799	0.5	1	0
8557229.599	0.5	1	0
8557231.399	0.5	1	0
8557233.199	0.5	1	1
8557234.999	0.5	1	0
8557236.799	0.5	1	0
8557238.599	0.5	1	0
8557240.399	0.5	1	1
8557242.202	0.5	1	0
8557243.999	0.5	1	0
8557257.799	0.5	2	0
8557259.599	0.5	2	0
8557261.399	0.5	2	0
8557263.199	0.5	2	1
8557264.999	0.5	2	0
8557266.799	0.5	2	0
8557268.598	0.5	2	0
8557270.398	0.5	2	0
8557272.198	0.5	2	1
8557273.998	0.5	2	0
8557287.798	0.5	3	0
8557289.598	0.5	3	0
8557291.398	0.5	3	0
8557293.198	0.5	3	0
8557294.998	0.5	3	0
8557296.798	0.5	3	0
8557298.598	0.5	3	1
8557300.398	0.5	3	0
8557302.198	0.5	3	0
8557303.998	0.5	3	1
8557317.798	0.5	3	0
8557319.598	0.5	3	0
8557321.398	0.5	3	0
8557323.198	0.5	3	0
8557324.998	0.5	3	1
8557326.798	0.5	3	0
8557328.598	0.5	3	0
8557330.398	0.5	3	1
8557332.198	0.5	3	0
8557333.998	0.5	3	0
8557347.798	0.5	2	0
8557349.597	0.5	2	0
8557351.397	0.5	2	0
8557353.197	0.5	2	0
8557354.997	0.5	2	0
8557356.797	0.5	2	0
