onset	duration	type	repeat
1012399.961	0.5	2	0
1012401.761	0.5	2	0
1012403.561	0.5	2	0
1012405.361	0.5	2	1
1012407.161	0.5	2	0
1012408.961	0.5	2	0
1012410.761	0.5	2	0
1012412.562	0.5	2	0
1012414.361	0.5	2	1
1012416.162	0.5	2	0
1012429.96	0.5	2	0
1012431.761	0.5	2	1
1012433.562	0.5	2	0
1012435.36	0.5	2	0
1012437.16	0.5	2	0
1012438.96	0.5	2	1
1012440.761	0.5	2	0
1012442.56	0.5	2	0
1012444.36	0.5	2	0
1012446.16	0.5	2	0
1012459.96	0.5	2	0
1012461.76	0.5	2	1
1012463.56	0.5	2	0
1012465.36	0.5	2	0
1012467.16	0.5	2	0
1012468.96	0.5	2	0
1012470.764	0.5	2	0
1012472.564	0.5	2	0
1012474.36	0.5	2	1
1012476.178	0.5	2	0
1012489.976	0.5	2	0
1012491.776	0.5	2	0
1012493.577	0.5	2	1
1012495.376	0.5	2	0
1012497.176	0.5	2	1
1012498.976	0.5	2	0
1012500.776	0.5	2	0
1012502.576	0.5	2	0
1012504.376	0.5	2	0
1012506.176	0.5	2	0
1012519.976	0.5	2	0
1012521.776	0.5	2	0
1012523.576	0.5	2	0
1012525.376	0.5	2	1
1012527.176	0.5	2	0
1012528.976	0.5	2	1
1012530.777	0.5	2	0
1012532.576	0.5	2	0
1012534.376	0.5	2	0
1012536.176	0.5	2	0
1012549.977	0.5	2	0
1012551.778	0.5	2	1
1012553.576	0.5	2	0
1012555.376	0.5	2	1
1012557.176	0.5	2	0
1012558.975	0.5	2	0
1012560.776	0.5	2	0
1012562.575	0.5	2	0
1012564.375	0.5	2	0
1012566.175	0.5	2	0
1012579.975	0.5	3	0
1012581.775	0.5	3	0
1012583.575	0.5	3	0
1012585.375	0.5	3	0
1012587.176	0.5	3	0
1012588.976	0.5	3	0
1012590.775	0.5	3	1
1012592.575	0.5	3	0
1012594.375	0.5	3	1
1012596.175	0.5	3	0
1012609.975	0.5	1	0
1012611.775	0.5	1	0
1012613.575	0.5	1	1
1012615.375	0.5	1	0
1012617.175	0.5	1	0
1012618.975	0.5	1	0
1012620.775	0.5	1	0
1012622.575	0.5	1	0
1012624.375	0.5	1	1
1012626.175	0.5	1	0
