onset	duration	type	choice	rwdval	RT
10100530.82	3	bandit	1	0	1.2464
10100537.8	3	bandit	3	10	1.2011
10100546.78	3	bandit	2	0	0.818
10100553.76	3	bandit	1	0	1.1944
10100561.75	3	bandit	2	0	1.1873
10100568.73	3	bandit	3	10	1.5206
10100575.71	3	bandit	2	0	1.8662
10100582.7	3	bandit	3	0	2.1149
10100590.68	3	bandit	1	0	0.3538
10100597.66	3	bandit	1	10	1.1548
10100604.65	3	bandit	2	0	1.1173
10100611.63	3	bandit	2	0	1.1571
10100618.61	3	bandit	3	10	2.9115
10100625.6	3	bandit	3	0	2.1526
10100632.58	3	bandit	1	0	1.719
10100639.56	3	bandit	2	0	1.2699
10100646.55	3	bandit	1	0	1.9279
10100653.53	3	bandit	3	0	2.4519
10100660.51	3	bandit	2	0	1.8494
10100667.5	3	bandit	1	10	2.1591
10100674.48	3	bandit	2	0	2.9619
10100681.46	3	bandit	1	0	2.9777
10100690.46	3	bandit	0	0	3.003
10100697.46	3	bandit	3	10	0.8398
10100705.45	3	bandit	1	10	1.9293
10100712.43	3	bandit	2	0	1.8166
10100719.41	3	bandit	2	0	1.7386
10100726.4	3	bandit	3	0	0.9445
10100735.38	3	bandit	1	0	0.5542
10100743.36	3	bandit	2	0	0.6529
10100759.6	3	bandit	1	0	1.5811
10100766.58	3	bandit	2	0	0.7809
10100775.56	3	bandit	3	0	0.5557
10100784.55	3	bandit	1	0	0.6152
10100791.53	3	bandit	2	0	0.7493
10100798.51	3	bandit	2	10	0.6754
10100808.5	3	bandit	3	10	1.0424
10100815.48	3	bandit	1	0	2.1527
10100822.46	3	bandit	2	0	0.7271
10100829.45	3	bandit	3	0	0.9541
10100837.43	3	bandit	1	0	0.7427
10100847.41	3	bandit	2	0	0.676
10100854.4	3	bandit	3	0	0.9079
10100861.38	3	bandit	3	0	0.7958
10100869.36	3	bandit	1	0	0.9457
10100876.35	3	bandit	2	10	0.5777
10100884.33	3	bandit	3	0	1.3273
10100892.31	3	bandit	1	0	0.6526
10100899.29	3	bandit	2	0	1.1544
10100906.28	3	bandit	3	10	0.863
10100914.26	3	bandit	1	0	1.0294
10100923.24	3	bandit	2	10	0.8993
10100932.23	3	bandit	1	0	0.9613
10100942.21	3	bandit	3	0	0.7059
10100950.2	3	bandit	1	0	0.8928
10100957.18	3	bandit	2	10	0.705
10100965.16	3	bandit	2	10	0.8492
10100974.15	3	bandit	3	0	1.1874
10100981.13	3	bandit	1	10	0.9161
10100988.11	3	bandit	1	10	0.9852
10101002.94	3	bandit	2	10	1.185
10101009.93	3	bandit	1	10	1.3098
10101016.91	3	bandit	3	10	0.9534
10101023.89	3	bandit	3	10	1.2661
10101033.88	3	bandit	1	0	0.6526
10101040.86	3	bandit	3	0	1.1491
10101048.85	3	bandit	2	0	0.4793
10101060.83	3	bandit	1	0	0.8046
10101067.81	3	bandit	2	0	1.1463
10101074.79	3	bandit	2	10	1.4709
10101081.78	3	bandit	1	10	1.0301
10101088.76	3	bandit	3	0	1.8779
10101096.74	3	bandit	2	0	0.9745
10101104.73	3	bandit	1	0	0.7357
10101111.71	3	bandit	3	0	0.9595
10101118.69	3	bandit	2	0	1.0595
10101125.68	3	bandit	1	10	0.6773
10101132.66	3	bandit	2	0	1.0645
10101139.64	3	bandit	1	10	0.6301
10101146.63	3	bandit	3	0	1.8455
10101153.61	3	bandit	1	10	2.1098
10101161.59	3	bandit	2	0	1.1176
10101171.57	3	bandit	3	0	0.9002
10101179.56	3	bandit	1	0	0.8558
10101188.54	3	bandit	2	0	0.7126
10101195.53	3	bandit	3	0	1.9201
10101202.51	3	bandit	2	0	0.465
10101210.49	3	bandit	1	10	0.5633
10101217.48	3	bandit	2	0	1.6528
10101224.46	3	bandit	2	0	1.853
10101237.97	3	bandit	1	0	0.7877
10101244.96	3	bandit	2	0	0.6759
10101251.94	3	bandit	3	0	2.0025
10101258.93	3	bandit	2	10	0.6682
10101265.91	3	bandit	3	10	1.1029
10101272.89	3	bandit	1	10	1.0726
10101279.88	3	bandit	2	10	0.4431
10101288.86	3	bandit	1	0	0.6911
10101295.84	3	bandit	3	0	1.6433
10101303.82	3	bandit	1	0	0.7951
10101310.81	3	bandit	2	0	0.6001
10101317.79	3	bandit	2	10	0.9939
10101327.78	3	bandit	2	10	0.6532
10101335.75	3	bandit	1	0	0.9157
10101342.74	3	bandit	2	0	0.6906
10101350.73	3	bandit	2	10	1.7254
10101357.71	3	bandit	3	0	0.877
10101364.69	3	bandit	1	10	1.5846
10101376.67	3	bandit	2	10	0.6917
10101385.65	3	bandit	2	10	1.5702
10101392.64	3	bandit	1	0	1.0274
10101399.62	3	bandit	3	0	0.9227
10101406.61	3	bandit	1	10	0.8564
10101413.59	3	bandit	2	0	0.6013
10101420.57	3	bandit	1	0	1.2387
10101427.55	3	bandit	0	0	3.0019
10101435.55	3	bandit	1	0	2.1479
10101442.54	3	bandit	2	0	0.5555
10101449.52	3	bandit	3	0	0.4879
10101457.5	3	bandit	2	10	0.6529
10101473	3	bandit	1	10	1.0797
10101479.99	3	bandit	2	10	0.472
10101487.97	3	bandit	3	0	0.6
10101494.96	3	bandit	2	0	0.5118
10101503.94	3	bandit	1	10	0.4729
10101510.92	3	bandit	1	10	0.7422
