onset	duration	type	choice	rwdval	RT
1900263.79	3	bandit	2	10	0.6969
1900271.773	3	bandit	3	0	1.5435
1900282.758	3	bandit	1	0	0.849
1900289.744	3	bandit	2	10	0.6514
1900297.726	3	bandit	1	0	0.4795
1900304.706	3	bandit	2	10	0.3792
1900311.693	3	bandit	3	0	0.4606
1900318.673	3	bandit	2	10	0.3095
1900327.656	3	bandit	2	10	0.53
1900334.639	3	bandit	2	10	0.757
1900341.627	3	bandit	2	0	0.7798
1900348.61	3	bandit	3	0	0.3775
1900355.589	3	bandit	2	0	0.3257
1900363.572	3	bandit	1	0	0.3017
1900371.557	3	bandit	2	0	0.47
1900378.542	3	bandit	2	10	0.3712
1900385.526	3	bandit	1	0	0.5278
1900393.509	3	bandit	2	10	0.3621
1900400.488	3	bandit	2	10	0.5974
1900408.471	3	bandit	3	10	0.5588
1900415.459	3	bandit	2	10	1.2636
1900422.438	3	bandit	3	0	1.4317
1900429.426	3	bandit	2	10	0.452
1900436.405	3	bandit	2	0	1.2819
1900446.388	3	bandit	1	0	0.6432
1900453.371	3	bandit	2	0	0.6048
1900460.354	3	bandit	3	10	1.3356
1900467.337	3	bandit	3	0	0.9196
1900474.321	3	bandit	2	10	0.4077
1900481.304	3	bandit	1	0	0.4899
1900498.82	3	bandit	2	10	1.2628
1900505.804	3	bandit	1	0	0.8231
1900512.787	3	bandit	3	10	0.5746
1900519.77	3	bandit	3	0	0.4446
1900526.753	3	bandit	2	10	0.2813
1900534.737	3	bandit	3	0	0.8128
1900542.722	3	bandit	2	10	0.316
1900549.703	3	bandit	2	10	0.6133
1900556.686	3	bandit	1	0	0.586
1900563.67	3	bandit	2	10	0.7058
1900570.653	3	bandit	3	10	0.8175
1900578.636	3	bandit	1	10	0.4685
1900585.619	3	bandit	3	0	0.7808
1900593.602	3	bandit	2	10	0.1123
1900601.586	3	bandit	2	0	0.498
1900609.569	3	bandit	1	0	0.2578
1900617.552	3	bandit	1	10	0.4475
1900624.536	3	bandit	2	0	1.1996
1900632.519	3	bandit	1	0	0.3485
1900639.502	3	bandit	3	0	0.6056
1900646.485	3	bandit	2	0	0.946
1900656.47	3	bandit	1	10	0.5611
1900665.455	3	bandit	1	10	0.4753
1900672.435	3	bandit	1	0	0.5137
1900679.418	3	bandit	2	10	0.6504
1900686.403	3	bandit	3	0	0.6236
1900693.385	3	bandit	2	10	0.3096
1900700.368	3	bandit	1	10	0.8029
1900707.351	3	bandit	2	10	0.9086
1900714.334	3	bandit	3	0	1.0895
1900727.601	3	bandit	2	0	0.8161
1900734.584	3	bandit	1	0	0.4324
1900741.567	3	bandit	3	0	0.873
1900748.551	3	bandit	2	0	0.3647
1900756.538	3	bandit	2	10	0.3196
1900763.518	3	bandit	1	0	0.4693
1900770.501	3	bandit	2	0	0.2883
1900777.483	3	bandit	3	10	0.2425
1900784.467	3	bandit	2	0	0.6762
1900791.45	3	bandit	2	0	1.3363
1900799.433	3	bandit	3	10	0.2872
1900806.433	3	bandit	1	0	0.5688
1900813.417	3	bandit	3	10	0.8705
1900820.402	3	bandit	1	0	0.4348
1900827.383	3	bandit	2	0	0.7047
1900834.366	3	bandit	3	10	0.2722
1900841.351	3	bandit	3	10	0.2211
1900848.333	3	bandit	3	0	0.483
1900855.316	3	bandit	1	10	0.7203
1900862.299	3	bandit	1	0	0.3022
1900869.282	3	bandit	2	0	0.6051
1900876.267	3	bandit	3	10	0.4164
1900884.251	3	bandit	3	0	0.3792
1900891.235	3	bandit	2	0	0.3094
1900898.232	3	bandit	3	0	0.2559
1900905.218	3	bandit	1	0	0.3414
1900915.198	3	bandit	1	0	1.4051
1900922.198	3	bandit	3	10	0.4559
1900929.182	3	bandit	0	0	3.0067
1900937.198	3	bandit	1	0	0.3867
1900952.231	3	bandit	2	10	0.8252
1900959.215	3	bandit	2	10	0.5317
1900968.198	3	bandit	2	10	0.5321
1900975.181	3	bandit	2	10	0.3782
1900982.166	3	bandit	2	0	0.3257
1900989.164	3	bandit	3	0	0.2372
1900996.151	3	bandit	1	0	0.3794
1901003.134	3	bandit	2	10	0.4467
1901010.116	3	bandit	2	10	0.4387
1901017.114	3	bandit	2	10	0.3165
1901024.099	3	bandit	2	0	0.6809
1901033.08	3	bandit	1	0	0.2954
1901040.063	3	bandit	2	10	0.4686
1901049.051	3	bandit	2	0	0.8099
1901056.032	3	bandit	3	0	0.2492
1901063.013	3	bandit	2	10	0.8092
1901069.997	3	bandit	1	0	0.475
1901076.996	3	bandit	2	10	0.6305
1901084.98	3	bandit	1	0	2.0459
1901091.963	3	bandit	2	10	0.4618
1901100.946	3	bandit	2	10	0.3331
1901109.929	3	bandit	2	10	0.4236
1901116.916	3	bandit	2	0	0.2656
1901123.912	3	bandit	3	0	0.4752
1901130.896	3	bandit	2	10	2.4697
1901137.896	3	bandit	2	10	0.4548
1901145.895	3	bandit	2	0	0.5381
1901152.895	3	bandit	2	10	0.324
1901161.895	3	bandit	2	0	0.8194
1901169.879	3	bandit	3	0	0.0981
1901185.195	3	bandit	1	0	0.8942
1901193.178	3	bandit	2	0	0.4102
1901201.166	3	bandit	3	0	0.8867
1901208.145	3	bandit	2	0	1.9263
1901215.145	3	bandit	1	10	0.3334
1901222.131	3	bandit	1	0	0.4246
1901229.128	3	bandit	1	0	0.6595
1901238.111	3	bandit	2	0	0.3859
1901245.111	3	bandit	3	0	0.3248
1901253.098	3	bandit	1	10	0.9462
1901260.096	3	bandit	1	10	1.4192
1901267.077	3	bandit	1	10	0.6816
1901274.077	3	bandit	1	10	0.7888
1901282.077	3	bandit	1	10	2.2764
1901289.06	3	bandit	1	0	0.7459
1901297.06	3	bandit	3	0	0.3709
1901304.043	3	bandit	1	0	0.407
1901311.03	3	bandit	0	0	3.0034
1901318.043	3	bandit	1	10	0.2891
1901325.043	3	bandit	1	10	0.3778
1901339.526	3	bandit	1	10	0.3857
1901348.514	3	bandit	1	10	0.4465
1901355.509	3	bandit	1	10	0.6751
1901364.509	3	bandit	1	10	0.4532
1901371.493	3	bandit	1	0	0.4614
1901378.492	3	bandit	2	10	0.1835
1901387.492	3	bandit	2	0	0.9141
1901394.476	3	bandit	1	0	0.3541
1901401.476	3	bandit	1	10	0.5816
1901408.459	3	bandit	3	0	0.8173
1901424.375	3	bandit	2	0	0.9686
1901431.358	3	bandit	1	10	0.3186
1901439.358	3	bandit	1	0	0.3411
1901447.358	3	bandit	2	0	0.3717
1901454.341	3	bandit	3	0	0.2787
1901463.341	3	bandit	3	0	0.4697
1901470.325	3	bandit	1	0	1.5653
1901478.308	3	bandit	2	10	0.2955
1901485.296	3	bandit	2	0	0.4009
1901492.291	3	bandit	0	0	3.0058
1901500.291	3	bandit	2	10	0.2717
1901507.274	3	bandit	1	10	0.356
1901514.257	3	bandit	2	10	0.6808
1901524.257	3	bandit	2	10	0.4395
1901532.257	3	bandit	2	10	0.6682
1901540.257	3	bandit	2	0	0.3317
1901548.257	3	bandit	1	0	0.7105
1901555.257	3	bandit	2	10	0.2361
1901563.24	3	bandit	1	0	0.5229
1901575.24	3	bandit	2	10	0.4627
1901582.24	3	bandit	1	0	0.5673
1901589.24	3	bandit	2	10	0.2657
1901596.223	3	bandit	2	10	0.3639
1901603.206	3	bandit	2	10	0.3502
1901610.189	3	bandit	1	0	1.0153
1901617.173	3	bandit	2	0	0.3109
1901624.156	3	bandit	2	10	0.6276
1901631.139	3	bandit	2	10	1.5681
1901638.123	3	bandit	2	10	0.4478
1901645.122	3	bandit	2	10	1.1189
