onset	duration	type	repeat
3449587.792	0.5	1	0
3449589.592	0.5	1	0
3449591.392	0.5	1	1
3449593.192	0.5	1	0
3449594.992	0.5	1	0
3449596.792	0.5	1	1
3449598.592	0.5	1	0
3449600.392	0.5	1	0
3449602.192	0.5	1	0
3449603.992	0.5	1	0
3449617.793	0.5	1	0
3449619.591	0.5	1	1
3449621.391	0.5	1	0
3449623.191	0.5	1	1
3449624.991	0.5	1	0
3449626.791	0.5	1	0
3449628.591	0.5	1	0
3449630.391	0.5	1	0
3449632.191	0.5	1	0
3449633.991	0.5	1	0
3449647.791	0.5	1	0
3449649.591	0.5	1	0
3449651.391	0.5	1	1
3449653.191	0.5	1	0
3449654.991	0.5	1	1
3449656.791	0.5	1	0
3449658.591	0.5	1	0
3449660.391	0.5	1	0
3449662.191	0.5	1	0
3449663.991	0.5	1	0
3449677.791	0.5	2	0
3449679.591	0.5	2	0
3449681.391	0.5	2	1
3449683.191	0.5	2	0
3449684.991	0.5	2	0
3449686.791	0.5	2	0
3449688.591	0.5	2	0
3449690.391	0.5	2	0
3449692.19	0.5	2	1
3449693.99	0.5	2	0
3449707.79	0.5	3	0
3449709.59	0.5	3	0
3449711.39	0.5	3	1
3449713.19	0.5	3	0
3449714.99	0.5	3	0
3449716.79	0.5	3	0
3449718.59	0.5	3	1
3449720.39	0.5	3	0
3449722.19	0.5	3	0
3449723.99	0.5	3	0
3449737.79	0.5	3	0
3449739.59	0.5	3	0
3449741.39	0.5	3	0
3449743.19	0.5	3	0
3449744.99	0.5	3	0
3449746.79	0.5	3	1
3449748.59	0.5	3	0
3449750.39	0.5	3	0
3449752.19	0.5	3	0
3449753.99	0.5	3	1
3449767.789	0.5	2	0
3449769.589	0.5	2	0
3449771.389	0.5	2	0
3449773.189	0.5	2	1
3449774.989	0.5	2	0
3449776.789	0.5	2	0
3449778.589	0.5	2	0
3449780.389	0.5	2	0
3449782.19	0.5	2	1
3449783.989	0.5	2	0
3449797.789	0.5	3	0
3449799.589	0.5	3	0
3449801.389	0.5	3	1
3449803.189	0.5	3	0
3449804.989	0.5	3	0
3449806.789	0.5	3	0
3449808.589	0.5	3	0
3449810.389	0.5	3	0
3449812.189	0.5	3	1
3449813.989	0.5	3	0
3449827.789	0.5	1	0
3449829.589	0.5	1	0
3449831.389	0.5	1	0
3449833.189	0.5	1	1
3449834.989	0.5	1	0
3449836.789	0.5	1	0
3449838.589	0.5	1	1
3449840.389	0.5	1	0
3449842.189	0.5	1	0
3449843.988	0.5	1	0
3449857.788	0.5	2	0
3449859.588	0.5	2	1
3449861.388	0.5	2	0
3449863.188	0.5	2	1
3449864.988	0.5	2	0
3449866.788	0.5	2	0
3449868.588	0.5	2	0
3449870.388	0.5	2	0
3449872.188	0.5	2	0
3449873.988	0.5	2	0
3449887.788	0.5	3	0
3449889.588	0.5	3	0
3449891.388	0.5	3	0
3449893.188	0.5	3	0
3449894.988	0.5	3	1
3449896.788	0.5	3	0
3449898.588	0.5	3	1
3449900.388	0.5	3	0
3449902.188	0.5	3	0
3449903.988	0.5	3	0
3449917.788	0.5	3	0
3449919.588	0.5	3	0
3449921.388	0.5	3	0
3449923.188	0.5	3	0
3449924.987	0.5	3	1
3449926.787	0.5	3	0
3449928.587	0.5	3	0
3449930.387	0.5	3	0
3449932.187	0.5	3	1
3449933.987	0.5	3	0
3449947.787	0.5	2	0
3449949.587	0.5	2	0
3449951.387	0.5	2	1
3449953.187	0.5	2	0
3449954.987	0.5	2	0
3449956.787	0.5	2	1
3449958.587	0.5	2	0
3449960.387	0.5	2	0
3449962.187	0.5	2	0
3449963.987	0.5	2	0
3449977.787	0.5	1	0
3449979.587	0.5	1	0
3449981.387	0.5	1	0
3449983.187	0.5	1	0
3449984.987	0.5	1	0
3449986.787	0.5	1	1
3449988.587	0.5	1	0
3449990.387	0.5	1	0
3449992.187	0.5	1	0
3449993.987	0.5	1	1
3450007.786	0.5	1	0
3450009.586	0.5	1	0
3450011.386	0.5	1	1
3450013.186	0.5	1	0
3450014.986	0.5	1	0
3450016.786	0.5	1	0
3450018.586	0.5	1	0
3450020.386	0.5	1	0
3450022.186	0.5	1	1
3450023.986	0.5	1	0
3450037.786	0.5	1	0
3450039.586	0.5	1	0
3450041.386	0.5	1	0
3450043.186	0.5	1	1
3450044.986	0.5	1	0
3450046.786	0.5	1	1
3450048.586	0.5	1	0
3450050.386	0.5	1	0
3450052.186	0.5	1	0
3450053.986	0.5	1	0
3450067.786	0.5	3	0
3450069.586	0.5	3	1
3450071.386	0.5	3	0
3450073.186	0.5	3	1
3450074.986	0.5	3	0
3450076.786	0.5	3	0
3450078.585	0.5	3	0
3450080.385	0.5	3	0
3450082.185	0.5	3	0
3450083.985	0.5	3	0
3450097.786	0.5	1	0
3450099.585	0.5	1	0
3450101.385	0.5	1	0
3450103.185	0.5	1	1
3450104.985	0.5	1	0
3450106.785	0.5	1	0
3450108.585	0.5	1	0
3450110.385	0.5	1	1
3450112.185	0.5	1	0
3450113.985	0.5	1	0
3450127.785	0.5	3	0
3450129.585	0.5	3	0
3450131.385	0.5	3	0
3450133.185	0.5	3	0
3450134.985	0.5	3	0
3450136.785	0.5	3	1
3450138.585	0.5	3	0
3450140.385	0.5	3	1
3450142.185	0.5	3	0
3450143.985	0.5	3	0
3450157.785	0.5	3	0
3450159.585	0.5	3	0
3450161.384	0.5	3	0
3450163.184	0.5	3	0
3450164.984	0.5	3	0
3450166.784	0.5	3	1
3450168.584	0.5	3	0
3450170.384	0.5	3	0
3450172.184	0.5	3	0
3450173.984	0.5	3	1
3450187.784	0.5	2	0
3450189.584	0.5	2	0
3450191.384	0.5	2	0
3450193.184	0.5	2	1
3450194.984	0.5	2	0
3450196.784	0.5	2	0
3450198.584	0.5	2	1
3450200.384	0.5	2	0
3450202.184	0.5	2	0
3450203.984	0.5	2	0
3450217.784	0.5	2	0
3450219.584	0.5	2	1
3450221.384	0.5	2	0
3450223.184	0.5	2	0
3450224.984	0.5	2	0
3450226.784	0.5	2	0
3450228.584	0.5	2	0
3450230.384	0.5	2	1
3450232.184	0.5	2	0
3450233.984	0.5	2	0
3450247.783	0.5	2	0
3450249.583	0.5	2	0
3450251.383	0.5	2	0
3450253.183	0.5	2	1
3450254.983	0.5	2	0
3450256.783	0.5	2	1
3450258.583	0.5	2	0
3450260.383	0.5	2	0
3450262.183	0.5	2	0
3450263.983	0.5	2	0
3450277.783	0.5	2	0
3450279.583	0.5	2	0
3450281.383	0.5	2	0
