onset	duration	type	choice	rwdval	RT
3445971.155	3	bandit	1	0	1.7778
3445978.138	3	bandit	2	10	1.057
3445986.125	3	bandit	2	0	1.3597
3445993.104	3	bandit	3	0	0.7438
3446000.087	3	bandit	1	10	2.2195
3446007.071	3	bandit	1	0	0.585
3446014.054	3	bandit	1	10	1.0038
3446021.038	3	bandit	2	0	2.132
3446028.02	3	bandit	1	0	1.3893
3446035.004	3	bandit	3	0	0.7968
3446041.987	3	bandit	2	0	2.9047
3446051.973	3	bandit	1	0	1.9708
3446058.953	3	bandit	2	0	1.3605
3446065.937	3	bandit	3	0	2.8554
3446072.92	3	bandit	3	0	0.8423
3446079.903	3	bandit	2	0	0.5921
3446086.887	3	bandit	1	10	0.9808
3446093.87	3	bandit	2	0	0.9279
3446100.853	3	bandit	1	10	0.4881
3446107.853	3	bandit	1	10	0.759
3446114.837	3	bandit	1	10	0.8153
3446121.819	3	bandit	1	10	1.5127
3446129.803	3	bandit	1	10	1.117
3446137.786	3	bandit	1	10	0.919
3446144.769	3	bandit	1	10	1.4658
3446152.754	3	bandit	1	0	1.59
3446161.739	3	bandit	3	0	1.0476
3446168.719	3	bandit	2	0	0.4626
3446178.702	3	bandit	3	0	0.9581
3446185.685	3	bandit	1	0	0.539
3446199.938	3	bandit	2	0	1.3842
3446206.92	3	bandit	3	0	0.675
3446213.904	3	bandit	1	10	0.4866
3446220.885	3	bandit	1	0	0.6383
3446227.868	3	bandit	1	0	0.6142
3446234.854	3	bandit	2	10	0.6149
3446242.834	3	bandit	2	0	1.7483
3446249.819	3	bandit	2	0	1.2909
3446258.805	3	bandit	3	10	0.6216
3446265.785	3	bandit	3	10	0.7749
3446273.767	3	bandit	3	10	0.8958
3446280.752	3	bandit	3	0	1.3975
3446287.734	3	bandit	2	0	0.5382
3446296.717	3	bandit	2	10	0.721
3446303.7	3	bandit	2	10	0.8443
3446311.684	3	bandit	2	10	1.1012
3446318.669	3	bandit	2	0	0.6232
3446325.654	3	bandit	3	0	1.1008
3446333.634	3	bandit	1	10	0.5541
3446342.617	3	bandit	1	10	1.0262
3446350.616	3	bandit	1	0	0.7742
3446359.6	3	bandit	3	10	0.9507
3446366.585	3	bandit	3	10	1.4124
3446373.568	3	bandit	3	10	1.1338
3446381.549	3	bandit	3	10	1.0704
3446388.533	3	bandit	3	10	0.7905
3446395.516	3	bandit	3	10	0.9188
3446403.499	3	bandit	3	0	0.8768
3446411.482	3	bandit	2	10	0.7216
3446418.467	3	bandit	2	10	1.0316
3446432.884	3	bandit	1	0	1.3303
3446439.865	3	bandit	2	0	1.3754
3446446.848	3	bandit	3	10	0.5846
3446453.833	3	bandit	3	0	0.9804
3446462.818	3	bandit	3	10	1.1771
3446472.798	3	bandit	3	0	1.1481
3446480.785	3	bandit	2	0	0.8966
3446487.767	3	bandit	2	0	0.948
3446496.75	3	bandit	3	10	0.882
3446503.734	3	bandit	1	10	1.6275
3446512.714	3	bandit	3	0	0.8971
3446519.698	3	bandit	1	10	0.707
3446527.685	3	bandit	1	10	0.8609
3446534.664	3	bandit	1	10	0.9876
3446541.647	3	bandit	1	10	1.4073
3446548.632	3	bandit	1	0	0.9663
3446555.616	3	bandit	2	10	0.577
3446562.599	3	bandit	2	10	0.7312
3446569.581	3	bandit	2	0	1.2308
3446576.563	3	bandit	3	10	0.7008
3446584.547	3	bandit	3	0	1.1684
3446591.53	3	bandit	2	0	0.5762
3446600.513	3	bandit	1	0	1.2386
3446609.5	3	bandit	3	0	0.9886
3446616.483	3	bandit	2	0	0.4038
3446623.463	3	bandit	2	0	0.4245
3446630.446	3	bandit	3	0	0.5401
3446641.429	3	bandit	1	0	0.8593
3446648.416	3	bandit	2	0	1.012
3446655.399	3	bandit	2	0	0.7445
3446669.996	3	bandit	2	0	1.4736
3446676.982	3	bandit	1	10	0.8378
3446683.962	3	bandit	1	0	0.5706
3446691.962	3	bandit	1	0	0.5844
3446699.945	3	bandit	2	0	1.1878
3446706.932	3	bandit	3	10	0.5389
3446713.912	3	bandit	3	0	0.8872
3446723.912	3	bandit	2	10	0.6934
3446730.895	3	bandit	2	0	1.1744
3446737.878	3	bandit	3	0	1.947
3446744.861	3	bandit	1	10	1.0649
3446753.848	3	bandit	1	0	1.5277
3446760.831	3	bandit	2	0	0.6231
3446767.811	3	bandit	3	10	0.674
3446775.797	3	bandit	3	0	0.6534
3446783.794	3	bandit	2	10	0.5264
3446790.777	3	bandit	2	10	0.486
3446798.761	3	bandit	2	0	1.4822
3446805.747	3	bandit	3	10	0.7851
3446814.744	3	bandit	3	10	1.1729
3446821.73	3	bandit	3	10	0.89
3446830.71	3	bandit	3	10	0.6253
3446838.71	3	bandit	3	10	1.1688
3446845.697	3	bandit	3	0	1.3312
3446852.693	3	bandit	2	0	0.587
3446861.677	3	bandit	1	0	1.0405
3446868.66	3	bandit	2	0	0.4644
3446875.643	3	bandit	2	10	0.6682
3446883.643	3	bandit	1	0	0.7611
3446890.631	3	bandit	2	10	0.4002
3446905.028	3	bandit	2	10	1.3779
3446912.009	3	bandit	2	0	0.6143
3446918.993	3	bandit	2	0	0.5684
3446925.98	3	bandit	3	10	0.3803
3446932.959	3	bandit	3	0	0.9419
3446939.942	3	bandit	3	0	0.421
3446946.925	3	bandit	1	0	0.5771
3446953.925	3	bandit	2	0	0.5074
3446960.925	3	bandit	2	10	0.8816
3446967.912	3	bandit	2	0	0.8275
3446974.892	3	bandit	2	0	0.5328
3446981.88	3	bandit	3	0	0.9371
3446988.862	3	bandit	1	0	1.1846
3447003.341	3	bandit	3	0	0.983
3447010.341	3	bandit	2	0	0.5467
3447017.325	3	bandit	2	0	1.0263
3447024.308	3	bandit	1	10	1.4133
3447031.308	3	bandit	1	10	1.5426
3447038.308	3	bandit	1	10	0.9266
3447047.308	3	bandit	1	10	1.1044
3447054.291	3	bandit	1	10	0.7063
3447063.278	3	bandit	1	10	1.0715
3447070.262	3	bandit	1	10	0.9641
3447077.257	3	bandit	1	10	1.1026
3447085.257	3	bandit	1	10	1.2709
3447092.24	3	bandit	1	10	0.9863
3447099.24	3	bandit	1	0	0.853
3447106.24	3	bandit	1	0	1.1399
3447114.24	3	bandit	2	0	0.5235
3447121.223	3	bandit	3	0	0.5466
3447135.892	3	bandit	2	0	1.3153
3447142.873	3	bandit	3	10	0.4251
3447152.873	3	bandit	3	10	0.6135
3447159.856	3	bandit	3	0	1.0704
3447166.839	3	bandit	1	0	1.0052
3447175.839	3	bandit	2	10	0.9955
3447182.839	3	bandit	2	0	0.6757
3447189.839	3	bandit	1	10	0.9738
3447196.822	3	bandit	1	10	1.3676
3447204.805	3	bandit	1	10	1.3007
3447216.805	3	bandit	1	0	1.0108
3447223.789	3	bandit	2	10	1.6552
3447230.772	3	bandit	2	10	2.0758
3447240.755	3	bandit	2	10	1.2398
3447247.755	3	bandit	2	10	0.7377
3447254.755	3	bandit	2	0	0.5788
3447261.738	3	bandit	3	0	0.9321
3447269.721	3	bandit	1	0	0.8798
3447278.721	3	bandit	2	0	0.714
3447285.704	3	bandit	2	0	1.2152
3447292.688	3	bandit	3	0	0.415
3447299.671	3	bandit	3	0	0.4411
3447308.671	3	bandit	2	10	1.0093
3447319.671	3	bandit	2	10	0.8895
3447326.654	3	bandit	2	10	0.5543
3447333.654	3	bandit	2	0	0.639
3447340.637	3	bandit	1	0	0.9503
3447348.62	3	bandit	3	0	1.1841
3447355.604	3	bandit	2	0	0.5482
3447362.604	3	bandit	1	0	0.4473
