onset	duration	type	repeat
4046464.75	0.5	1	0
4046466.55	0.5	1	0
4046468.35	0.5	1	0
4046470.15	0.5	1	1
4046471.95	0.5	1	0
4046473.75	0.5	1	0
4046475.55	0.5	1	0
4046477.351	0.5	1	1
4046479.15	0.5	1	0
4046480.95	0.5	1	0
4046494.75	0.5	2	0
4046496.55	0.5	2	0
4046498.35	0.5	2	0
4046500.151	0.5	2	1
4046501.95	0.5	2	0
4046503.749	0.5	2	0
4046505.549	0.5	2	0
4046507.349	0.5	2	0
4046509.149	0.5	2	0
4046510.949	0.5	2	1
4046524.749	0.5	2	0
4046526.549	0.5	2	0
4046528.349	0.5	2	1
4046530.149	0.5	2	0
4046531.949	0.5	2	0
4046533.749	0.5	2	0
4046535.549	0.5	2	0
4046537.349	0.5	2	1
4046539.149	0.5	2	0
4046540.949	0.5	2	0
4046554.749	0.5	2	0
4046556.549	0.5	2	1
4046558.349	0.5	2	0
4046560.149	0.5	2	1
4046561.949	0.5	2	0
4046563.749	0.5	2	0
4046565.549	0.5	2	0
4046567.349	0.5	2	0
4046569.149	0.5	2	0
4046570.949	0.5	2	0
4046584.748	0.5	1	0
4046586.548	0.5	1	0
4046588.348	0.5	1	0
4046590.148	0.5	1	0
4046591.948	0.5	1	0
4046593.748	0.5	1	1
4046595.548	0.5	1	0
4046597.348	0.5	1	0
4046599.148	0.5	1	0
4046600.948	0.5	1	1
4046614.748	0.5	2	0
4046616.548	0.5	2	0
4046618.348	0.5	2	0
4046620.148	0.5	2	0
4046621.948	0.5	2	0
4046623.748	0.5	2	0
4046625.548	0.5	2	0
4046627.348	0.5	2	1
4046629.148	0.5	2	0
4046630.948	0.5	2	1
4046644.748	0.5	2	0
4046646.548	0.5	2	0
4046648.348	0.5	2	1
4046650.149	0.5	2	0
4046651.948	0.5	2	0
4046653.748	0.5	2	0
4046655.548	0.5	2	0
4046657.348	0.5	2	0
4046659.148	0.5	2	0
4046660.947	0.5	2	1
4046674.747	0.5	1	0
4046676.547	0.5	1	0
4046678.347	0.5	1	1
4046680.147	0.5	1	0
4046681.947	0.5	1	0
4046683.747	0.5	1	1
4046685.547	0.5	1	0
4046687.347	0.5	1	0
4046689.147	0.5	1	0
4046690.947	0.5	1	0
4046704.748	0.5	1	0
4046706.547	0.5	1	0
4046708.347	0.5	1	0
4046710.147	0.5	1	0
4046711.947	0.5	1	0
4046713.747	0.5	1	0
4046715.547	0.5	1	1
4046717.347	0.5	1	0
4046719.147	0.5	1	1
4046720.947	0.5	1	0
4046734.747	0.5	2	0
4046736.547	0.5	2	1
4046738.346	0.5	2	0
4046740.146	0.5	2	0
4046741.947	0.5	2	1
4046743.746	0.5	2	0
4046745.547	0.5	2	0
4046747.348	0.5	2	0
4046749.146	0.5	2	0
4046750.946	0.5	2	0
4046764.746	0.5	2	0
4046766.546	0.5	2	1
4046768.347	0.5	2	0
4046770.146	0.5	2	0
4046771.946	0.5	2	0
4046773.747	0.5	2	0
4046775.546	0.5	2	0
4046777.346	0.5	2	1
4046779.146	0.5	2	0
4046780.946	0.5	2	0
4046794.746	0.5	3	0
4046796.546	0.5	3	0
4046798.346	0.5	3	1
4046800.146	0.5	3	0
4046801.946	0.5	3	0
4046803.746	0.5	3	0
4046805.546	0.5	3	0
4046807.346	0.5	3	0
4046809.146	0.5	3	1
4046810.946	0.5	3	0
4046824.748	0.5	3	0
4046826.546	0.5	3	1
4046828.345	0.5	3	0
4046830.145	0.5	3	1
4046831.945	0.5	3	0
4046833.745	0.5	3	0
4046835.545	0.5	3	0
4046837.345	0.5	3	0
4046839.145	0.5	3	0
4046840.945	0.5	3	0
4046854.747	0.5	3	0
4046856.545	0.5	3	0
4046858.345	0.5	3	0
4046860.145	0.5	3	1
4046861.945	0.5	3	0
4046863.745	0.5	3	0
4046865.545	0.5	3	1
4046867.345	0.5	3	0
4046869.145	0.5	3	0
