onset	duration	type	choice	rwdval	RT
8283794.067	3	bandit	2	0	2.045
8283801.054	3	bandit	1	0	0.7733
8283808.035	3	bandit	3	0	0.6534
8283815.02	3	bandit	2	10	0.5725
8283823.002	3	bandit	2	10	0.4392
8283829.983	3	bandit	2	0	0.8274
8283836.966	3	bandit	1	0	0.6516
8283845.084	3	bandit	2	0	0.5308
8283852.066	3	bandit	3	10	1.0497
8283860.052	3	bandit	3	0	0.4039
8283867.037	3	bandit	1	0	0.7326
8283874.016	3	bandit	2	0	0.6863
8283881.002	3	bandit	3	0	0.3439
8283887.982	3	bandit	3	0	0.411
8283894.965	3	bandit	2	0	0.6324
8283901.949	3	bandit	1	10	0.1002
8283908.936	3	bandit	1	10	0.4187
8283915.918	3	bandit	1	10	0.6793
8283922.903	3	bandit	1	0	0.6382
8283929.885	3	bandit	3	0	0.4593
8283936.869	3	bandit	3	0	1.0356
8283943.848	3	bandit	2	0	0.3366
8283950.831	3	bandit	1	10	0.8621
8283958.817	3	bandit	1	0	0.0399
8283965.802	3	bandit	2	0	0.7113
8283973.784	3	bandit	1	0	0.7543
8283980.768	3	bandit	1	10	0.7397
8283988.751	3	bandit	1	10	0.291
8283996.734	3	bandit	3	0	0.2427
8284003.714	3	bandit	1	0	0.5516
8284018.699	3	bandit	3	10	2.1096
8284028.68	3	bandit	1	10	1.1521
8284037.664	3	bandit	2	0	0.1489
8284044.647	3	bandit	1	0	0.8673
8284052.634	3	bandit	3	10	0.5002
8284061.615	3	bandit	3	10	0.8633
8284068.597	3	bandit	3	0	0.9704
8284075.584	3	bandit	1	0	0.6308
8284082.563	3	bandit	2	10	0.5836
8284089.55	3	bandit	2	10	0.3641
8284096.529	3	bandit	2	10	1.0559
8284104.513	3	bandit	1	0	1.1488
8284111.496	3	bandit	3	0	0.4223
8284119.483	3	bandit	2	0	0.6529
8284127.466	3	bandit	2	10	0.9219
8284138.448	3	bandit	1	0	0.9153
8284145.429	3	bandit	3	0	1.3444
8284153.416	3	bandit	2	10	0.3904
8284160.396	3	bandit	3	0	0.739
8284168.379	3	bandit	1	10	0.101
8284176.366	3	bandit	2	10	1.7844
8284187.347	3	bandit	2	10	1.111
