onset	duration	type	choice	rwdval	RT
4834446.203	3	bandit	1	0	0.8577
4834454.187	3	bandit	2	10	0.5941
4834461.17	3	bandit	2	10	1.3274
4834468.153	3	bandit	2	10	1.4411
4834475.136	3	bandit	2	0	0.503
4834487.124	3	bandit	2	10	1.5702
4834494.103	3	bandit	2	10	0.5786
4834501.086	3	bandit	2	10	0.6965
4834508.069	3	bandit	2	10	0.8783
4834515.053	3	bandit	2	10	0.9409
4834522.053	3	bandit	2	0	1.5842
4834529.036	3	bandit	2	10	0.444
4834537.019	3	bandit	2	10	1.323
4834544.002	3	bandit	2	10	0.9308
4834554.989	3	bandit	2	10	2.3784
4834565.97	3	bandit	2	0	0.8706
4834572.953	3	bandit	2	0	0.5034
4834580.937	3	bandit	3	0	0.4206
4834587.919	3	bandit	3	0	0.5178
4834594.902	3	bandit	1	10	0.4154
4834603.888	3	bandit	1	0	0.488
4834610.869	3	bandit	1	0	0.5028
4834617.851	3	bandit	2	10	0.4871
4834624.835	3	bandit	2	0	0.7339
4834632.818	3	bandit	1	0	0.5239
4834640.803	3	bandit	1	0	2.603
4834647.784	3	bandit	3	0	0.4363
4834654.769	3	bandit	3	10	0.5619
4834661.751	3	bandit	3	0	1.1343
4834668.734	3	bandit	3	0	1.0677
4834683.319	3	bandit	1	0	1.0638
4834690.301	3	bandit	2	10	0.3987
4834697.284	3	bandit	2	0	0.7199
4834704.267	3	bandit	3	0	0.6605
4834711.25	3	bandit	2	0	0.344
4834718.233	3	bandit	1	10	0.8107
4834725.217	3	bandit	1	0	1.8595
4834734.2	3	bandit	1	0	1.0566
4834742.186	3	bandit	2	0	0.435
4834749.168	3	bandit	1	10	0.9665
4834756.149	3	bandit	1	0	2.3595
4834764.136	3	bandit	3	10	0.9261
4834772.117	3	bandit	3	10	0.5705
4834782.102	3	bandit	3	0	0.8642
4834792.087	3	bandit	2	0	0.5332
4834804.07	3	bandit	1	0	0.4265
4834811.053	3	bandit	3	10	1.2008
4834818.034	3	bandit	3	10	0.9141
4834828.019	3	bandit	3	0	0.7352
