onset	duration	type	repeat
2308862.105	0.5	1	0
2308863.9	0.5	1	0
2308865.7	0.5	1	0
2308867.5	0.5	1	0
2308869.3	0.5	1	0
2308871.1	0.5	1	0
2308872.9	0.5	1	1
2308874.7	0.5	1	0
2308876.5	0.5	1	0
2308878.3	0.5	1	1
2308892.1	0.5	2	0
2308893.9	0.5	2	1
2308895.7	0.5	2	0
2308897.5	0.5	2	0
2308899.3	0.5	2	1
2308901.1	0.5	2	0
2308902.9	0.5	2	0
2308904.7	0.5	2	0
2308906.5	0.5	2	0
2308908.3	0.5	2	0
2308922.099	0.5	3	0
2308923.899	0.5	3	0
2308925.699	0.5	3	1
2308927.499	0.5	3	0
2308929.299	0.5	3	0
2308931.099	0.5	3	0
2308932.899	0.5	3	0
2308934.699	0.5	3	0
2308936.499	0.5	3	0
2308938.299	0.5	3	1
2308952.099	0.5	1	0
2308953.899	0.5	1	0
2308955.699	0.5	1	1
2308957.499	0.5	1	0
2308959.299	0.5	1	1
2308961.099	0.5	1	0
2308962.899	0.5	1	0
2308964.699	0.5	1	0
2308966.499	0.5	1	0
2308968.299	0.5	1	0
2308982.099	0.5	1	0
2308983.899	0.5	1	0
2308985.699	0.5	1	0
2308987.499	0.5	1	1
2308989.299	0.5	1	0
2308991.099	0.5	1	0
2308992.898	0.5	1	0
2308994.698	0.5	1	0
2308996.498	0.5	1	0
2308998.298	0.5	1	1
2309012.098	0.5	3	0
2309013.898	0.5	3	0
2309015.698	0.5	3	1
2309017.498	0.5	3	0
2309019.298	0.5	3	0
2309021.098	0.5	3	0
2309022.898	0.5	3	0
2309024.698	0.5	3	0
2309026.498	0.5	3	0
2309028.298	0.5	3	1
2309042.099	0.5	2	0
2309043.898	0.5	2	0
2309045.698	0.5	2	0
2309047.498	0.5	2	0
2309049.298	0.5	2	0
2309051.098	0.5	2	1
2309052.898	0.5	2	0
2309054.698	0.5	2	1
2309056.498	0.5	2	0
2309058.298	0.5	2	0
2309072.097	0.5	2	0
2309073.897	0.5	2	0
2309075.697	0.5	2	1
2309077.497	0.5	2	0
2309079.297	0.5	2	1
2309081.097	0.5	2	0
2309082.897	0.5	2	0
2309084.697	0.5	2	0
2309086.497	0.5	2	0
2309088.297	0.5	2	0
2309102.097	0.5	3	0
2309103.897	0.5	3	0
2309105.697	0.5	3	0
2309107.497	0.5	3	1
2309109.297	0.5	3	0
2309111.097	0.5	3	1
2309112.897	0.5	3	0
2309114.697	0.5	3	0
2309116.497	0.5	3	0
2309118.297	0.5	3	0
2309132.097	0.5	1	0
2309133.897	0.5	1	0
2309135.697	0.5	1	0
2309137.497	0.5	1	0
2309139.297	0.5	1	0
2309141.097	0.5	1	0
2309142.897	0.5	1	1
2309144.697	0.5	1	0
2309146.497	0.5	1	1
2309148.297	0.5	1	0
2309162.096	0.5	2	0
2309163.896	0.5	2	0
2309165.696	0.5	2	0
2309167.496	0.5	2	0
2309169.296	0.5	2	0
2309171.096	0.5	2	0
2309172.896	0.5	2	0
2309174.696	0.5	2	1
2309176.496	0.5	2	0
2309178.296	0.5	2	1
2309192.097	0.5	3	0
2309193.896	0.5	3	0
2309195.696	0.5	3	1
2309197.496	0.5	3	0
2309199.296	0.5	3	0
2309201.096	0.5	3	0
2309202.896	0.5	3	1
2309204.696	0.5	3	0
2309206.496	0.5	3	0
2309208.296	0.5	3	0
2309222.096	0.5	2	0
2309223.896	0.5	2	1
2309225.696	0.5	2	0
2309227.496	0.5	2	0
2309229.296	0.5	2	0
2309231.096	0.5	2	0
2309232.895	0.5	2	0
2309234.696	0.5	2	0
2309236.495	0.5	2	1
2309238.295	0.5	2	0
2309252.095	0.5	2	0
2309253.895	0.5	2	0
2309255.695	0.5	2	0
2309257.495	0.5	2	0
2309259.295	0.5	2	1
2309261.095	0.5	2	0
2309262.895	0.5	2	0
2309264.695	0.5	2	0
2309266.495	0.5	2	0
2309268.295	0.5	2	1
2309282.095	0.5	1	0
2309283.895	0.5	1	1
2309285.695	0.5	1	0
2309287.495	0.5	1	0
2309289.295	0.5	1	0
2309291.095	0.5	1	1
2309292.895	0.5	1	0
2309294.695	0.5	1	0
2309296.495	0.5	1	0
2309298.295	0.5	1	0
2309312.095	0.5	1	0
2309313.894	0.5	1	0
2309315.694	0.5	1	0
2309317.494	0.5	1	1
2309319.294	0.5	1	0
2309321.094	0.5	1	1
2309322.894	0.5	1	0
2309324.694	0.5	1	0
2309326.494	0.5	1	0
2309328.294	0.5	1	0
2309342.094	0.5	2	0
2309343.894	0.5	2	0
2309345.694	0.5	2	1
2309347.494	0.5	2	0
2309349.294	0.5	2	0
2309351.094	0.5	2	0
2309352.894	0.5	2	0
2309354.694	0.5	2	0
2309356.494	0.5	2	0
2309358.294	0.5	2	1
2309372.094	0.5	3	0
2309373.894	0.5	3	0
2309375.694	0.5	3	0
2309377.494	0.5	3	1
2309379.294	0.5	3	0
2309381.094	0.5	3	0
2309382.894	0.5	3	0
2309384.694	0.5	3	0
2309386.494	0.5	3	1
2309388.294	0.5	3	0
2309402.093	0.5	1	0
2309403.893	0.5	1	0
2309405.693	0.5	1	1
2309407.493	0.5	1	0
2309409.293	0.5	1	0
2309411.093	0.5	1	0
2309412.893	0.5	1	1
2309414.693	0.5	1	0
2309416.493	0.5	1	0
2309418.293	0.5	1	0
2309432.093	0.5	3	0
2309433.893	0.5	3	0
2309435.693	0.5	3	0
2309437.493	0.5	3	0
2309439.293	0.5	3	1
2309441.093	0.5	3	0
2309442.893	0.5	3	0
2309444.693	0.5	3	0
2309446.493	0.5	3	1
2309448.293	0.5	3	0
2309462.093	0.5	3	0
2309463.893	0.5	3	1
2309465.693	0.5	3	0
2309467.492	0.5	3	0
2309469.292	0.5	3	0
2309471.092	0.5	3	1
2309472.892	0.5	3	0
2309474.692	0.5	3	0
2309476.492	0.5	3	0
2309478.292	0.5	3	0
2309492.092	0.5	3	0
2309493.892	0.5	3	0
2309495.692	0.5	3	1
2309497.492	0.5	3	0
2309499.292	0.5	3	0
2309501.092	0.5	3	0
2309502.892	0.5	3	0
2309504.692	0.5	3	0
2309506.492	0.5	3	1
2309508.292	0.5	3	0
2309522.092	0.5	1	0
2309523.892	0.5	1	0
2309525.692	0.5	1	0
2309527.492	0.5	1	0
2309529.292	0.5	1	0
2309531.092	0.5	1	1
2309532.892	0.5	1	0
2309534.692	0.5	1	0
2309536.492	0.5	1	0
2309538.292	0.5	1	1
2309552.091	0.5	2	0
2309553.891	0.5	2	0
2309555.691	0.5	2	0
2309557.491	0.5	2	0
2309559.291	0.5	2	1
2309561.091	0.5	2	0
2309562.891	0.5	2	0
2309564.691	0.5	2	0
2309566.491	0.5	2	0
2309568.291	0.5	2	1
2309582.091	0.5	2	0
2309583.891	0.5	2	0
2309585.691	0.5	2	0
2309587.491	0.5	2	0
2309589.291	0.5	2	1
2309591.091	0.5	2	0
2309592.891	0.5	2	0
2309594.691	0.5	2	1
2309596.491	0.5	2	0
2309598.291	0.5	2	0
2309612.091	0.5	3	0
2309613.891	0.5	3	0
2309615.691	0.5	3	0
2309617.491	0.5	3	0
2309619.291	0.5	3	0
2309621.091	0.5	3	1
2309622.891	0.5	3	0
2309624.691	0.5	3	1
2309626.49	0.5	3	0
2309628.29	0.5	3	0
2309642.091	0.5	3	0
2309643.89	0.5	3	0
2309645.69	0.5	3	0
2309647.49	0.5	3	0
2309649.29	0.5	3	0
2309651.09	0.5	3	0
2309652.89	0.5	3	1
2309654.69	0.5	3	0
2309656.49	0.5	3	0
2309658.29	0.5	3	1
2309672.09	0.5	1	0
2309673.89	0.5	1	0
2309675.69	0.5	1	0
2309677.49	0.5	1	1
2309679.29	0.5	1	0
2309681.09	0.5	1	0
2309682.89	0.5	1	1
2309684.69	0.5	1	0
2309686.49	0.5	1	0
2309688.29	0.5	1	0
2309702.09	0.5	1	0
2309703.89	0.5	1	0
2309705.689	0.5	1	0
2309707.49	0.5	1	1
2309709.29	0.5	1	0
2309711.089	0.5	1	1
2309712.892	0.5	1	0
2309714.689	0.5	1	0
2309716.489	0.5	1	0
2309718.289	0.5	1	0
2309732.089	0.5	2	0
2309733.889	0.5	2	0
2309735.69	0.5	2	0
2309737.489	0.5	2	0
2309739.289	0.5	2	0
2309741.089	0.5	2	0
2309742.889	0.5	2	1
2309744.689	0.5	2	0
2309746.489	0.5	2	0
2309748.289	0.5	2	1
