onset	duration	type	choice	rwdval	RT
3438098.221	3	bandit	2	0	1.4199
3438105.238	3	bandit	1	10	1.337
3438112.221	3	bandit	1	0	1.3145
3438119.204	3	bandit	3	0	1.9308
3438129.191	3	bandit	1	10	1.4735
3438137.174	3	bandit	1	10	1.2448
3438145.155	3	bandit	1	10	1.7299
3438152.137	3	bandit	1	10	2.3282
3438159.12	3	bandit	1	0	1.2367
3438166.104	3	bandit	2	0	0.8824
3438173.088	3	bandit	1	0	1.7692
3438181.07	3	bandit	3	0	0.8904
3438189.053	3	bandit	2	10	0.5608
3438196.036	3	bandit	2	0	0.702
3438204.02	3	bandit	1	10	0.6146
3438211.003	3	bandit	1	0	1.193
3438217.988	3	bandit	1	10	1.0944
3438226.969	3	bandit	1	0	1.5676
3438234.953	3	bandit	2	0	0.8663
3438241.936	3	bandit	1	10	2.2753
3438248.919	3	bandit	1	10	1.0955
3438255.902	3	bandit	1	10	1.1532
3438263.886	3	bandit	1	0	0.9101
3438270.869	3	bandit	3	0	0.8524
3438278.852	3	bandit	1	0	1.0244
3438286.835	3	bandit	1	0	0.784
3438294.819	3	bandit	2	0	0.9328
3438303.802	3	bandit	2	0	1.5287
3438310.785	3	bandit	1	10	1.1257
3438317.768	3	bandit	1	10	0.7519
3438331.168	3	bandit	3	10	1.6785
3438339.151	3	bandit	3	0	0.7912
3438346.137	3	bandit	2	10	0.5381
3438354.118	3	bandit	2	10	1.3686
3438362.101	3	bandit	2	0	1.0302
3438370.084	3	bandit	1	10	0.586
3438377.068	3	bandit	1	0	0.8974
3438384.051	3	bandit	2	0	1.3719
3438391.034	3	bandit	2	0	0.9429
3438398.018	3	bandit	1	0	0.7297
3438405.001	3	bandit	3	0	0.63
3438411.984	3	bandit	3	0	0.7672
3438419.968	3	bandit	2	0	0.6692
3438426.95	3	bandit	2	0	1.0456
3438433.933	3	bandit	1	0	0.6912
3438441.917	3	bandit	3	10	1.7865
3438448.9	3	bandit	3	0	1.3155
3438455.883	3	bandit	2	0	0.9037
3438463.866	3	bandit	1	0	0.6318
3438470.85	3	bandit	3	0	0.5855
3438478.833	3	bandit	3	10	0.7679
3438485.817	3	bandit	3	10	1.1396
3438492.804	3	bandit	3	10	1.032
3438499.785	3	bandit	3	0	0.911
3438506.766	3	bandit	2	0	1.1006
3438513.751	3	bandit	1	10	0.5915
3438524.737	3	bandit	1	0	1.4586
3438535.732	3	bandit	3	0	1.5818
3438542.715	3	bandit	3	0	1.1714
3438549.701	3	bandit	2	0	0.5612
3438564.115	3	bandit	1	0	1.5938
3438571.1	3	bandit	3	0	1.0274
3438578.085	3	bandit	2	0	0.6226
3438586.082	3	bandit	2	0	0.7817
3438593.065	3	bandit	1	0	0.5246
3438601.048	3	bandit	1	0	0.564
3438609.034	3	bandit	3	10	0.6389
3438617.015	3	bandit	3	10	1.0326
3438625	3	bandit	3	0	0.9129
3438631.981	3	bandit	2	10	0.5839
3438638.966	3	bandit	2	0	0.8531
3438645.949	3	bandit	1	0	0.7384
3438652.947	3	bandit	3	0	0.7301
3438659.931	3	bandit	2	0	0.8681
3438667.931	3	bandit	2	0	0.9174
3438674.916	3	bandit	1	10	0.7897
3438681.897	3	bandit	1	10	0.7666
3438688.88	3	bandit	1	10	0.7014
3438695.865	3	bandit	1	10	1.4766
3438702.847	3	bandit	1	10	1.1876
3438709.833	3	bandit	1	10	0.9182
3438719.813	3	bandit	1	10	1.0509
3438727.813	3	bandit	1	0	0.874
3438734.8	3	bandit	3	0	1.3309
3438741.78	3	bandit	2	0	0.8042
3438748.763	3	bandit	1	10	0.3189
3438756.746	3	bandit	1	0	0.8743
3438764.731	3	bandit	1	10	0.4495
3438772.715	3	bandit	1	0	0.7305
3438780.712	3	bandit	3	0	0.6298
3438794.979	3	bandit	2	10	2.0016
3438801.964	3	bandit	2	0	0.7917
3438810.949	3	bandit	2	0	0.5311
3438817.929	3	bandit	1	0	0.4636
3438824.912	3	bandit	3	0	0.6445
3438832.912	3	bandit	2	0	0.7006
3438839.895	3	bandit	2	10	0.4692
3438846.878	3	bandit	2	0	0.8965
3438853.865	3	bandit	1	0	1.1006
3438860.847	3	bandit	2	10	0.3347
3438868.845	3	bandit	2	0	0.7527
3438875.833	3	bandit	2	10	0.6004
3438883.815	3	bandit	3	0	0.516
3438890.811	3	bandit	2	10	0.4558
3438897.799	3	bandit	2	10	0.6313
3438904.794	3	bandit	2	10	1.1332
3438912.777	3	bandit	2	10	0.4247
3438919.777	3	bandit	2	10	0.7712
3438927.777	3	bandit	2	10	0.7445
3438934.764	3	bandit	2	10	0.5554
3438942.76	3	bandit	2	10	1.0777
3438950.76	3	bandit	2	10	1.2429
3438957.743	3	bandit	2	0	1.181
3438964.727	3	bandit	1	0	0.6012
3438976.714	3	bandit	2	0	1.183
3438983.71	3	bandit	3	0	0.7752
3438990.697	3	bandit	2	10	0.4325
3438999.693	3	bandit	2	0	0.7593
3439006.676	3	bandit	2	10	0.6297
3439015.676	3	bandit	2	0	0.7136
3439030.009	3	bandit	2	0	1.9655
3439036.996	3	bandit	3	0	0.5868
3439043.976	3	bandit	1	10	0.3713
3439050.976	3	bandit	1	10	0.6148
3439057.959	3	bandit	1	0	0.873
3439067.942	3	bandit	1	0	0.5618
3439074.929	3	bandit	2	0	0.3414
3439081.912	3	bandit	1	0	0.9752
3439089.908	3	bandit	3	0	0.6621
3439097.908	3	bandit	2	0	0.5612
3439104.908	3	bandit	2	10	0.3785
3439112.891	3	bandit	2	0	0.4779
3439119.879	3	bandit	2	10	0.7958
3439126.858	3	bandit	1	0	0.7209
3439134.858	3	bandit	2	0	0.5239
3439141.858	3	bandit	2	0	1.1999
3439149.841	3	bandit	3	0	0.7974
3439157.829	3	bandit	2	0	0.6083
3439164.807	3	bandit	1	10	0.4342
3439171.791	3	bandit	1	10	0.6001
3439178.774	3	bandit	1	10	0.4161
3439185.774	3	bandit	1	10	0.7994
3439192.757	3	bandit	1	0	0.8588
3439199.74	3	bandit	1	0	0.6449
3439206.74	3	bandit	2	0	0.3974
3439215.723	3	bandit	3	0	0.9035
3439223.723	3	bandit	1	0	0.4088
3439230.707	3	bandit	2	0	0.6005
3439237.69	3	bandit	2	10	0.5691
3439244.678	3	bandit	2	0	0.5772
3439258.806	3	bandit	3	0	0.9501
3439265.789	3	bandit	1	0	0.5466
3439272.79	3	bandit	2	0	1.3226
3439280.773	3	bandit	1	10	0.2586
3439287.756	3	bandit	1	0	0.5435
3439295.756	3	bandit	1	0	0.2749
3439304.756	3	bandit	3	10	0.1081
3439311.756	3	bandit	3	0	0.7719
3439319.756	3	bandit	3	0	0.5235
3439326.739	3	bandit	3	0	0.8729
3439334.739	3	bandit	2	0	0.455
3439343.739	3	bandit	1	0	0.2503
3439351.722	3	bandit	1	10	0.5379
3439358.722	3	bandit	1	0	0.7441
3439365.705	3	bandit	1	10	0.4642
3439372.688	3	bandit	2	0	0.5839
3439380.671	3	bandit	1	10	0.5163
3439388.655	3	bandit	1	0	0.5302
3439396.638	3	bandit	1	10	0.3107
3439403.638	3	bandit	1	10	1.013
3439410.638	3	bandit	1	0	0.585
3439417.621	3	bandit	1	0	0.5776
3439425.621	3	bandit	2	0	0.6381
3439432.604	3	bandit	1	0	0.5848
3439439.587	3	bandit	3	0	1.5416
3439446.571	3	bandit	1	0	0.5321
3439453.571	3	bandit	2	0	0.5903
3439460.57	3	bandit	2	0	0.395
3439467.57	3	bandit	3	10	0.6962
3439476.57	3	bandit	3	10	0.8437
