onset	duration	type	choice	rwdval	RT
2305317.295	3	bandit	2	0	1.5823
2305324.279	3	bandit	3	0	0.3201
2305332.262	3	bandit	1	10	0.408
2305339.245	3	bandit	1	10	0.6212
2305346.229	3	bandit	1	10	1.1653
2305353.211	3	bandit	1	0	1.8546
2305360.195	3	bandit	2	10	0.4805
2305367.178	3	bandit	2	0	0.4223
2305374.161	3	bandit	2	0	0.6757
2305381.146	3	bandit	1	0	0.3006
2305388.128	3	bandit	3	0	0.2807
2305395.112	3	bandit	2	0	0.2742
2305402.095	3	bandit	1	10	0.2676
2305410.079	3	bandit	1	10	0.4075
2305417.062	3	bandit	1	0	1.3779
2305424.046	3	bandit	2	0	0.2006
2305431.029	3	bandit	1	10	0.7898
2305438.011	3	bandit	2	0	1.3662
2305445.996	3	bandit	1	0	0.5228
2305452.978	3	bandit	2	0	0.5023
2305459.961	3	bandit	1	10	0.2805
2305467.944	3	bandit	1	10	0.3678
2305474.928	3	bandit	1	0	0.8032
2305481.91	3	bandit	2	0	0.2478
2305488.897	3	bandit	1	0	0.3012
2305495.878	3	bandit	1	10	1.7001
2305503.861	3	bandit	1	10	0.381
2305510.844	3	bandit	1	10	1.372
2305518.827	3	bandit	1	0	0.3683
2305528.826	3	bandit	1	10	0.9299
2305546.092	3	bandit	2	0	2.1589
2305555.078	3	bandit	1	0	0.4692
2305562.06	3	bandit	3	0	1.8213
2305570.046	3	bandit	1	10	0.3891
2305577.027	3	bandit	1	0	0.5522
2305585.011	3	bandit	1	0	0.4544
2305593.995	3	bandit	2	0	0.3605
2305600.977	3	bandit	1	0	1.3179
2305609.961	3	bandit	3	0	0.3207
2305618.941	3	bandit	1	0	0.3681
2305625.926	3	bandit	2	10	0.4555
2305632.911	3	bandit	1	0	2.2115
2305639.893	3	bandit	2	10	0.6816
2305646.877	3	bandit	2	10	1.5864
2305653.859	3	bandit	2	10	1.9019
2305660.844	3	bandit	2	0	0.8773
2305668.828	3	bandit	2	10	0.6435
2305676.808	3	bandit	2	0	1.226
2305684.793	3	bandit	2	0	0.3011
2305692.777	3	bandit	1	0	0.2616
2305699.76	3	bandit	2	10	1.6139
2305706.742	3	bandit	2	10	1.4129
2305713.726	3	bandit	2	0	1.8743
2305720.71	3	bandit	2	10	0.4897
2305727.693	3	bandit	2	10	0.2671
2305734.676	3	bandit	2	10	1.7942
2305741.661	3	bandit	2	10	1.9748
2305748.642	3	bandit	2	10	0.9692
2305757.626	3	bandit	2	0	1.2675
2305764.609	3	bandit	2	10	0.488
2305781.127	3	bandit	2	10	1.3926
2305788.109	3	bandit	2	10	1.7538
2305795.093	3	bandit	2	0	2.0743
2305804.072	3	bandit	2	10	0.4675
2305815.059	3	bandit	2	0	0.6052
2305822.042	3	bandit	2	10	0.3342
2305829.025	3	bandit	2	10	1.3991
2305837.009	3	bandit	2	0	1.3604
2305843.991	3	bandit	2	0	0.9231
2305850.975	3	bandit	2	0	0.3272
2305858.959	3	bandit	2	0	0.3871
2305866.941	3	bandit	3	10	0.421
2305874.925	3	bandit	3	0	0.4018
2305881.908	3	bandit	3	0	1.0785
2305889.888	3	bandit	3	0	0.4816
2305900.871	3	bandit	1	0	0.4224
2305908.859	3	bandit	1	10	0.3422
2305916.842	3	bandit	1	0	0.4547
2305923.824	3	bandit	1	0	0.5576
2305930.804	3	bandit	1	0	2.4138
2305937.792	3	bandit	1	0	0.9786
2305944.77	3	bandit	3	10	0.3
2305951.758	3	bandit	3	10	0.5969
2305959.741	3	bandit	3	0	0.7319
2305966.72	3	bandit	3	0	0.5546
2305973.703	3	bandit	3	0	1.0924
2305980.691	3	bandit	1	0	0.3415
2305987.674	3	bandit	3	10	0.3759
2305995.653	3	bandit	3	0	0.8705
2306003.641	3	bandit	3	10	0.5993
2306018.219	3	bandit	0	0	3.0036
2306026.219	3	bandit	1	0	0.6621
2306033.208	3	bandit	2	10	0.3338
2306041.19	3	bandit	3	0	0.4881
2306048.169	3	bandit	2	0	0.3537
2306055.156	3	bandit	1	10	0.8181
2306062.14	3	bandit	1	10	1.6777
2306069.119	3	bandit	1	10	0.307
2306076.106	3	bandit	1	10	0.054
2306083.085	3	bandit	1	10	0.3938
2306090.073	3	bandit	1	0	0.4481
2306098.056	3	bandit	2	0	0.4551
2306105.035	3	bandit	1	10	0.3344
2306112.018	3	bandit	1	0	0.6282
2306120.006	3	bandit	1	10	0.2873
2306126.985	3	bandit	1	0	0.3751
2306133.968	3	bandit	1	0	0.7029
2306141.956	3	bandit	1	0	0.863
2306149.934	3	bandit	1	10	0.3883
2306156.922	3	bandit	1	10	0.8033
2306164.901	3	bandit	1	10	0.8488
2306171.889	3	bandit	1	10	0.5616
