onset	duration	type	choice	rwdval	RT
929304.2316	3	bandit	1	10	1.1886
929312.2315	3	bandit	1	10	2.3819
929319.2147	3	bandit	0	0	3.0076
929327.2146	3	bandit	1	10	0.803
929334.1979	3	bandit	1	10	1.1409
929346.1845	3	bandit	1	0	1.6399
929353.1643	3	bandit	2	10	2.3619
929361.1475	3	bandit	2	0	2.6273
929368.1308	3	bandit	3	0	2.6989
929375.1141	3	bandit	1	10	2.1448
929384.0972	3	bandit	1	0	1.6189
929393.0805	3	bandit	2	0	1.0592
929400.0637	3	bandit	1	0	1.7864
929408.0484	3	bandit	2	0	1.3017
929415.0303	3	bandit	3	10	0.9025
929422.0134	3	bandit	3	0	2.1038
929430.999	3	bandit	1	0	0.9904
929439.9804	3	bandit	2	0	1.7161
929447.9631	3	bandit	1	0	1.4235
929455.9469	3	bandit	3	0	0.7308
929464.9309	3	bandit	1	0	0.8895
929471.9129	3	bandit	2	0	1.2024
929478.896	3	bandit	1	10	1.8643
929486.8793	3	bandit	1	0	1.5326
929493.8625	3	bandit	3	10	1.0922
929500.8458	3	bandit	3	10	2.0725
929507.8291	3	bandit	3	0	2.1826
929514.8123	3	bandit	1	0	1.3899
929522.7985	3	bandit	3	0	1.3226
929529.7788	3	bandit	2	10	1.83
929543.4143	3	bandit	2	0	1.6034
929551.3972	3	bandit	1	0	1.4168
929559.3798	3	bandit	3	0	1.0448
929566.3616	3	bandit	2	0	1.308
929574.3464	3	bandit	1	0	1.1829
929584.3285	3	bandit	3	0	1.9685
929592.3116	3	bandit	2	0	0.8293
929600.2951	3	bandit	2	0	0.5859
929610.2824	3	bandit	1	10	1.2877
929617.261	3	bandit	3	10	1.5587
929627.2443	3	bandit	2	0	1.7904
929636.2276	3	bandit	1	10	0.7222
929643.2107	3	bandit	3	0	1.1346
929651.1969	3	bandit	1	0	1.2092
929658.1773	3	bandit	1	0	1.1605
929665.1604	3	bandit	3	10	1.3289
929672.1437	3	bandit	2	0	1.8151
929679.1268	3	bandit	1	0	1.5938
929686.1101	3	bandit	1	0	1.4035
929696.0934	3	bandit	3	10	0.8174
929705.0792	3	bandit	2	0	1.1544
929712.0599	3	bandit	2	0	0.5938
929719.0431	3	bandit	3	0	0.6143
929727.0301	3	bandit	1	10	1.1401
929735.0097	3	bandit	3	0	1.2561
929743.997	3	bandit	1	10	1.5393
929751.977	3	bandit	1	10	0.9299
929758.9596	3	bandit	1	10	1.6663
929765.9425	3	bandit	1	0	1.31
929772.9271	3	bandit	3	0	1.7948
929790.9255	3	bandit	2	0	1.6695
929798.9104	3	bandit	2	0	1.5642
929805.8933	3	bandit	3	0	0.5874
929818.8783	3	bandit	1	0	1.4436
929825.8608	3	bandit	1	0	1.0321
929832.8416	3	bandit	3	0	0.4532
929840.828	3	bandit	3	0	0.6488
929847.8104	3	bandit	2	0	0.9842
929856.7913	3	bandit	2	10	0.7228
929864.7787	3	bandit	2	10	0.9984
929871.7579	3	bandit	2	10	1.2213
929879.7441	3	bandit	2	10	0.993
929886.7242	3	bandit	2	10	1.553
929894.7076	3	bandit	2	0	1.4241
929901.6923	3	bandit	1	0	1.424
929911.674	3	bandit	3	10	1.5046
929918.6572	3	bandit	3	10	1.4497
929925.6411	3	bandit	3	0	0.8912
929932.6241	3	bandit	2	0	0.5734
929943.6097	3	bandit	3	0	0.5728
929954.5901	3	bandit	3	0	0.9667
929961.5734	3	bandit	1	0	0.7693
929968.5574	3	bandit	2	10	0.7759
929975.5398	3	bandit	2	10	1.4309
929982.5242	3	bandit	2	0	1.3095
929989.5063	3	bandit	3	0	1.2551
929996.4908	3	bandit	1	0	0.6471
930004.4768	3	bandit	2	0	0.8757
930011.4574	3	bandit	2	0	1.8293
930018.4394	3	bandit	2	10	1.7427
930036.3395	3	bandit	2	0	1.5864
930043.3223	3	bandit	3	0	0.8567
930050.3073	3	bandit	1	0	0.6412
930057.2888	3	bandit	1	10	0.8159
930064.2721	3	bandit	1	10	0.9373
930074.2553	3	bandit	1	10	0.8019
930081.2385	3	bandit	1	10	0.9321
930089.2259	3	bandit	1	10	0.7943
930096.2063	3	bandit	1	10	1.9647
930105.1881	3	bandit	1	0	1.4171
930112.1715	3	bandit	1	0	1.8303
930119.1558	3	bandit	2	0	1.2546
930127.1379	3	bandit	3	0	0.6065
930134.1213	3	bandit	1	0	0.8636
930141.1045	3	bandit	1	10	1.9048
930148.0877	3	bandit	1	10	1.4038
930156.0708	3	bandit	1	0	1.2023
930166.0567	3	bandit	3	10	1.9165
930173.0388	3	bandit	3	0	0.8031
930181.0206	3	bandit	1	0	0.4995
930188.0061	3	bandit	1	10	1.0938
930194.987	3	bandit	1	10	1.6181
930202.9751	3	bandit	1	0	1.2763
930209.9571	3	bandit	3	10	1.6613
930216.9368	3	bandit	3	0	1.107
930224.92	3	bandit	3	10	1.0752
930232.9071	3	bandit	3	0	0.8035
930239.889	3	bandit	1	10	1.283
930246.8698	3	bandit	1	10	0.9167
930253.853	3	bandit	1	10	1.5516
930267.2366	3	bandit	1	0	1.4118
930274.2195	3	bandit	2	0	1.2069
930283.2053	3	bandit	3	0	0.7369
930290.1859	3	bandit	3	0	0.7159
930297.1691	3	bandit	2	0	1.5927
930306.1523	3	bandit	1	0	0.8498
930313.1356	3	bandit	1	0	2.2702
930320.1225	3	bandit	1	0	0.6942
930327.1044	3	bandit	2	0	0.6616
930335.0855	3	bandit	2	0	0.6134
930342.0686	3	bandit	3	10	1.1277
930349.0558	3	bandit	3	10	1.1184
930359.0385	3	bandit	3	10	0.5963
930368.0349	3	bandit	3	0	1.0188
930375.0182	3	bandit	3	0	1.4925
930383.0013	3	bandit	3	10	1.2483
930390.9845	3	bandit	3	10	0.4654
930397.9709	3	bandit	3	0	1.051
