onset	duration	type	choice	rwdval	RT
4646786.441	3	bandit	1	10	1.6634
4646796.424	3	bandit	1	10	0.5567
4646803.409	3	bandit	1	10	1.0382
4646810.393	3	bandit	1	0	0.703
4646817.377	3	bandit	1	10	0.6393
4646824.359	3	bandit	1	0	1.0372
4646831.343	3	bandit	1	0	0.716
4646838.326	3	bandit	1	10	1.2887
4646845.307	3	bandit	1	0	0.5921
4646852.293	3	bandit	2	0	1.3164
4646859.274	3	bandit	2	10	0.9952
4646866.258	3	bandit	2	0	0.5805
4646873.242	3	bandit	3	0	0.6229
4646880.223	3	bandit	3	0	0.5357
4646887.206	3	bandit	1	0	0.6543
4646896.19	3	bandit	1	0	0.5432
4646903.176	3	bandit	1	10	0.6789
4646910.156	3	bandit	1	10	0.9481
4646920.139	3	bandit	1	0	0.649
4646930.123	3	bandit	2	0	0.4659
4646937.107	3	bandit	2	0	0.3826
4646945.089	3	bandit	1	10	0.3534
4646952.074	3	bandit	1	10	0.9572
4646959.057	3	bandit	1	10	0.4441
4646966.041	3	bandit	1	10	0.9859
4646974.023	3	bandit	1	10	1.1338
4646982.006	3	bandit	1	10	0.5927
4646990.989	3	bandit	1	10	0.5773
4646997.973	3	bandit	1	10	0.7359
4647004.96	3	bandit	1	10	0.754
4647019.388	3	bandit	1	10	0.9755
4647026.371	3	bandit	1	10	0.6913
4647033.358	3	bandit	1	0	0.9455
4647040.342	3	bandit	1	0	0.7076
4647047.323	3	bandit	2	0	1.3998
4647054.304	3	bandit	2	10	1.0465
4647064.291	3	bandit	2	0	0.6926
4647071.273	3	bandit	2	10	0.4537
4647078.256	3	bandit	2	0	0.8967
4647085.24	3	bandit	3	0	1.2194
4647092.222	3	bandit	3	0	0.519
4647100.204	3	bandit	3	0	0.7213
4647107.187	3	bandit	1	0	0.5928
4647114.172	3	bandit	1	0	0.8634
4647122.153	3	bandit	1	0	0.4078
4647129.137	3	bandit	2	10	0.7599
4647136.12	3	bandit	2	10	0.4384
4647143.106	3	bandit	2	0	0.8427
4647150.089	3	bandit	2	0	0.4222
4647157.07	3	bandit	2	10	0.1129
4647164.056	3	bandit	2	10	0.6302
4647172.036	3	bandit	2	10	0.8268
4647179.022	3	bandit	2	0	0.7408
4647188.003	3	bandit	2	0	0.5099
4647194.989	3	bandit	2	10	0.7955
4647201.969	3	bandit	2	0	0.4887
4647208.956	3	bandit	2	10	0.8434
4647219.952	3	bandit	2	0	0.6679
4647226.935	3	bandit	2	10	1.7606
4647233.919	3	bandit	2	10	0.7318
4647248.185	3	bandit	1	0	1.6769
4647255.168	3	bandit	1	0	0.6714
4647262.152	3	bandit	2	0	0.4424
4647269.138	3	bandit	2	0	0.3221
4647276.123	3	bandit	3	0	0.5514
4647285.102	3	bandit	3	0	0.5496
4647292.085	3	bandit	1	10	0.4819
4647300.07	3	bandit	1	10	0.6089
4647307.056	3	bandit	1	10	1.2647
4647315.034	3	bandit	1	0	0.9345
4647323.018	3	bandit	1	0	0.4912
4647330.004	3	bandit	2	0	1.648
4647336.987	3	bandit	2	0	0.5574
4647345.967	3	bandit	3	0	1.4065
4647353.952	3	bandit	3	0	0.6687
4647361.934	3	bandit	1	0	0.2853
4647368.92	3	bandit	1	10	0.5558
4647375.9	3	bandit	1	10	0.7436
4647382.883	3	bandit	1	10	0.7465
4647390.867	3	bandit	1	0	0.4504
4647398.85	3	bandit	1	10	0.4366
4647406.836	3	bandit	1	10	0.7755
4647414.816	3	bandit	1	10	0.6006
4647421.8	3	bandit	1	10	1.1208
4647428.787	3	bandit	1	10	0.8655
4647435.766	3	bandit	1	10	0.3219
4647443.749	3	bandit	1	10	0.7618
4647450.732	3	bandit	1	0	0.6551
4647457.716	3	bandit	1	0	0.4882
4647466.704	3	bandit	1	10	0.5273
4647481.132	3	bandit	2	0	2.5406
4647490.119	3	bandit	2	10	0.5561
4647497.099	3	bandit	3	0	0.9767
4647504.082	3	bandit	3	0	0.4359
4647511.065	3	bandit	1	10	0.4911
4647518.053	3	bandit	1	0	0.5875
4647528.035	3	bandit	1	0	0.4289
4647538.015	3	bandit	1	0	0.4121
4647545.998	3	bandit	1	0	0.5172
