onset	duration	type	choice	rwdval	RT
2667475.779	3	bandit	2	10	1.1401
2667482.778	3	bandit	2	0	1.2861
2667489.762	3	bandit	3	10	0.6089
2667496.749	3	bandit	3	0	0.8538
2667504.732	3	bandit	1	0	1.118
2667512.711	3	bandit	1	0	0.996
2667519.695	3	bandit	2	0	0.6849
2667526.678	3	bandit	2	0	0.7193
2667533.665	3	bandit	3	10	0.5911
2667544.648	3	bandit	3	0	0.773
2667551.628	3	bandit	3	0	0.7881
2667560.611	3	bandit	2	0	0.4697
2667569.596	3	bandit	1	0	0.597
2667576.577	3	bandit	2	10	1.5509
2667585.56	3	bandit	2	0	0.9283
2667593.544	3	bandit	3	0	0.9417
2667600.527	3	bandit	2	10	0.4237
2667607.51	3	bandit	2	0	0.9403
2667615.493	3	bandit	2	0	0.8204
2667622.477	3	bandit	1	0	0.6384
2667631.462	3	bandit	2	10	0.4384
2667640.445	3	bandit	2	10	1.0297
2667647.428	3	bandit	2	0	1.6748
2667654.41	3	bandit	2	0	1.3437
2667662.393	3	bandit	1	0	0.9428
2667669.376	3	bandit	3	0	0.8258
2667677.359	3	bandit	2	10	0.3366
2667685.342	3	bandit	2	10	0.9071
2667692.329	3	bandit	2	10	1.2356
2667701.309	3	bandit	2	0	1.1238
2667714.976	3	bandit	1	0	1.0936
2667721.96	3	bandit	2	10	0.5642
2667729.942	3	bandit	2	10	0.746
2667736.929	3	bandit	2	0	1.0963
2667743.912	3	bandit	2	0	0.484
2667750.892	3	bandit	3	0	0.7792
2667760.876	3	bandit	3	0	0.9041
2667768.861	3	bandit	1	10	1.098
2667778.841	3	bandit	1	0	0.7662
2667785.825	3	bandit	2	0	0.9154
2667793.808	3	bandit	2	0	0.6787
2667800.791	3	bandit	1	10	0.5168
2667811.774	3	bandit	1	10	0.8125
2667818.761	3	bandit	1	0	1.2598
2667826.743	3	bandit	1	10	0.8347
2667833.724	3	bandit	1	10	1.5418
2667840.707	3	bandit	1	0	1.4401
2667847.69	3	bandit	1	0	1.0553
2667854.674	3	bandit	1	0	1.6496
2667861.657	3	bandit	3	0	0.7588
2667869.644	3	bandit	1	10	0.788
2667876.626	3	bandit	1	10	0.6792
2667885.608	3	bandit	1	10	1.3268
2667893.59	3	bandit	1	10	0.8541
2667900.573	3	bandit	1	0	1.0635
2667907.556	3	bandit	1	0	0.9947
2667914.54	3	bandit	3	0	0.4771
2667921.523	3	bandit	3	10	0.6859
2667928.506	3	bandit	3	10	0.9423
2667935.489	3	bandit	3	10	0.7658
2667949.989	3	bandit	1	10	0.9589
2667956.972	3	bandit	1	10	0.5034
2667963.956	3	bandit	1	0	0.8288
2667970.939	3	bandit	1	10	0.808
2667979.924	3	bandit	1	0	1.0488
2667986.905	3	bandit	1	10	1.1236
2667993.889	3	bandit	1	10	0.9289
2668000.876	3	bandit	1	0	1.1043
2668007.855	3	bandit	1	10	0.6859
2668014.838	3	bandit	1	0	1.082
2668021.822	3	bandit	1	0	0.6515
2668031.808	3	bandit	1	0	0.6395
2668038.788	3	bandit	2	0	0.3911
2668045.771	3	bandit	3	0	0.6927
2668052.755	3	bandit	3	0	1.0635
2668059.74	3	bandit	2	10	0.956
2668066.721	3	bandit	2	10	1.1718
2668073.704	3	bandit	1	0	1.1114
2668080.688	3	bandit	2	0	0.5705
2668087.673	3	bandit	3	0	1.1783
2668094.654	3	bandit	2	10	0.7586
2668101.637	3	bandit	2	10	1.0844
2668109.625	3	bandit	2	10	0.6401
2668117.605	3	bandit	2	0	1.0827
2668124.587	3	bandit	2	10	0.8136
2668131.57	3	bandit	2	0	1.0641
2668138.553	3	bandit	2	10	1.2644
2668145.537	3	bandit	2	0	1.1705
2668152.522	3	bandit	2	0	1.3668
2668161.507	3	bandit	2	10	0.7812
2668176.703	3	bandit	1	0	1.1871
2668184.69	3	bandit	2	10	0.5506
2668191.67	3	bandit	2	0	0.6922
2668198.653	3	bandit	2	0	0.8688
2668205.637	3	bandit	2	0	1.3408
2668216.852	3	bandit	3	10	0.6328
2668223.837	3	bandit	3	0	0.9347
2668230.819	3	bandit	1	0	0.6582
2668238.802	3	bandit	3	10	0.9032
2668246.785	3	bandit	3	10	0.7862
2668253.769	3	bandit	3	10	1.7228
2668263.755	3	bandit	3	10	1.0975
2668271.737	3	bandit	3	10	1.4624
2668278.718	3	bandit	3	0	0.8745
2668285.702	3	bandit	3	10	0.7542
2668292.686	3	bandit	3	0	1.1106
2668301.67	3	bandit	3	10	0.618
2668309.654	3	bandit	3	10	0.7935
2668316.635	3	bandit	3	0	1.4889
2668323.618	3	bandit	1	10	1.0496
2668330.601	3	bandit	1	0	0.9288
2668338.584	3	bandit	2	0	1.2111
2668345.584	3	bandit	1	0	0.6603
2668352.567	3	bandit	1	10	1.3046
2668359.551	3	bandit	1	0	0.8612
2668369.538	3	bandit	1	10	1.144
2668376.52	3	bandit	1	0	0.9007
2668385.5	3	bandit	1	10	1.1317
2668392.487	3	bandit	1	0	1.146
2668399.47	3	bandit	1	0	0.5638
2668413.817	3	bandit	1	10	0.9271
2668420.802	3	bandit	1	0	1.2776
2668427.783	3	bandit	0	0	3.0078
2668434.783	3	bandit	1	0	0.7263
2668441.766	3	bandit	3	0	1.2866
2668448.75	3	bandit	3	0	1.5496
2668456.736	3	bandit	2	0	0.2952
2668464.716	3	bandit	2	0	0.4031
2668471.699	3	bandit	1	0	0.3892
2668478.682	3	bandit	1	0	0.3904
2668487.669	3	bandit	3	0	0.4367
2668494.666	3	bandit	3	0	1.0385
2668501.649	3	bandit	1	0	0.3423
2668508.649	3	bandit	2	0	0.9149
2668515.632	3	bandit	1	0	0.7865
2668522.615	3	bandit	2	10	0.8604
2668530.602	3	bandit	2	10	0.638
2668537.598	3	bandit	2	10	1.385
2668546.582	3	bandit	2	10	0.8553
2668553.565	3	bandit	2	0	1.0624
2668560.565	3	bandit	2	10	0.611
2668567.548	3	bandit	2	10	1.1435
2668577.535	3	bandit	2	10	0.937
2668585.514	3	bandit	2	10	0.9693
2668595.498	3	bandit	2	0	0.7469
2668602.481	3	bandit	2	10	1.0969
2668609.464	3	bandit	2	10	1.1171
2668617.452	3	bandit	2	0	0.5236
2668625.431	3	bandit	1	0	1.064
2668632.417	3	bandit	3	0	1.2666
2668646.747	3	bandit	2	10	0.6398
2668654.73	3	bandit	2	0	0.9095
2668662.713	3	bandit	2	10	0.9824
2668670.697	3	bandit	2	0	0.8004
2668677.697	3	bandit	2	0	0.7992
